policy,n,q_p50,q_max,fair_mean,fair_p1,lt50_pct,alloc_avg
sfqa@0.0003,62069,28406380.6,79225517.6,95.8,66.9,0.0,87.7
sfqa@0.0002,62069,29542860.9,79068449.0,96.6,77.0,0.0,88.6
sfqa@0.0001,62069,39837507.1,83760264.4,99.0,87.2,0.0,87.1
