pod,queue_sec,jct_sec
ph-application-1508364558011-32667-flqgx,148.0,210.0
ph-application-1508364558011-32745-xs5z5,147.0,158.0
ph-application-1508364558011-32779-npmvx,145.0,151.0
ph-application-1508364558011-32806-mv8qc,143.0,149.0
ph-application-1508364558011-32851-7jr67,152.0,159.0
ph-application-1508364558011-32889-p7mbj,150.0,182.0
ph-application-1508364558011-32946-xpbzc,149.0,150.0
ph-application-1508364558011-32978-xcdqn,152.0,154.0
ph-application-1508364558011-33029-wrj47,151.0,152.0
ph-application-1508364558011-33031-4jnkx,155.0,156.0
ph-application-1508364558011-33085-jvvgt,153.0,264.0
ph-application-1508364558011-33101-scvq2,151.0,152.0
ph-application-1508364558011-33116-72n2g,155.0,156.0
ph-application-1508364558011-33153-bdcg4,153.0,154.0
ph-application-1508364558011-33174-6rlr2,155.0,161.0
ph-application-1508364558011-33175-zd7sd,154.0,156.0
ph-application-1508364558011-33209-vdmzz,165.0,211.0
ph-application-1508364558011-33243-hj5sg,151.0,157.0
ph-application-1508364558011-33322-jlfjm,1846.0,1852.0
ph-application-1508364558011-33324-dr4d2,184.0,190.0
ph-application-1508364558011-33346-27zjb,149.0,150.0
ph-application-1508364558011-33360-s5vpj,173.0,174.0
ph-application-1508364558011-33523-8bdsw,188.0,304.0
ph-application-1508364558011-33542-lf9kz,186.0,217.0
ph-application-1508364558011-33545-qgbk7,199.0,331.0
ph-application-1508364558011-33562-kszvh,197.0,229.0
ph-application-1508364558011-33592-gngcg,195.0,247.0
ph-application-1508364558011-33630-jkv8r,193.0,380.0
ph-application-1508364558011-33699-nnbvq,212.0,218.0
ph-application-1508364558011-33708-5fr8l,214.0,230.0
ph-application-1508364558011-33709-ghdvj,218.0,224.0
ph-application-1508364558011-33723-57ctj,220.0,231.0
ph-application-1508364558011-33765-cd5pg,225.0,232.0
ph-application-1508364558011-33777-6hl5l,223.0,235.0
ph-application-1508364558011-33786-4lwr7,225.0,276.0
ph-application-1508364558011-33860-mbtrc,227.0,263.0
ph-application-1508364558011-33910-brqpd,227.0,238.0
ph-application-1508364558011-34065-vgxpb,228.0,259.0
ph-application-1508364558011-34096-l889h,228.0,239.0
ph-application-1508364558011-34134-hkchx,236.0,247.0
ph-application-1508364558011-34196-2rzqd,239.0,250.0
ph-application-1508364558011-34251-h448g,247.0,259.0
ph-application-1508364558011-34256-sv2mx,250.0,261.0
ph-application-1508364558011-34261-zvz5s,252.0,264.0
ph-application-1508364558011-34329-k4plh,251.0,277.0
ph-application-1508364558011-34385-8tx8l,255.0,257.0
ph-application-1508364558011-34405-wq2jc,262.0,279.0
ph-application-1508364558011-34440-fpm4q,261.0,268.0
ph-application-1508364558011-34484-vlzvv,259.0,340.0
ph-application-1508364558011-34506-tvzxq,257.0,309.0
ph-application-1508364558011-34510-6d76q,255.0,266.0
ph-application-1508364558011-34531-wpf5g,265.0,346.0
ph-application-1508364558011-34532-sxmv4,267.0,348.0
ph-application-1508364558011-34591-s5lpv,265.0,321.0
ph-application-1508364558011-34599-9bp5d,269.0,330.0
ph-application-1508364558011-34726-g428p,273.0,334.0
ph-application-1508364558011-34739-9pqj2,299.0,365.0
ph-application-1508364558011-34752-mx8zk,317.0,388.0
ph-application-1508364558011-34784-99bps,322.0,383.0
ph-application-1508364558011-34890-g8tkp,322.0,353.0
ph-application-1508364558011-34895-64fjm,322.0,333.0
ph-application-1508364558011-34905-zj7kp,326.0,347.0
ph-application-1508364558011-34907-w2nxp,328.0,349.0
ph-application-1508364558011-34937-5jck9,332.0,358.0
ph-application-1508364558011-34960-x97mf,330.0,341.0
ph-application-1508364558011-34966-8pkjs,343.0,354.0
ph-application-1508364558011-34993-6g47j,341.0,403.0
ph-application-1508364558011-35067-jbvt8,344.0,405.0
ph-application-1508364558011-35068-wfqs2,342.0,408.0
ph-application-1508364558011-35097-svgs7,344.0,405.0
ph-application-1508364558011-35146-x6ckk,349.0,351.0
ph-application-1508364558011-35153-49cj7,347.0,399.0
ph-application-1508364558011-35196-2sf75,351.0,448.0
ph-application-1508364558011-35297-jc78p,357.0,358.0
ph-application-1508364558011-35351-v7c5d,358.0,359.0
ph-application-1508364558011-35419-vc29g,358.0,360.0
ph-application-1508364558011-35456-vh49d,359.0,360.0
ph-application-1508364558011-35538-zt28x,359.0,361.0
ph-application-1508364558011-35583-66dgd,360.0,362.0
ph-application-1508364558011-35641-rmzvz,360.0,362.0
ph-application-1508364558011-35650-p5fsx,361.0,363.0
ph-application-1508364558011-35654-mvjg8,361.0,363.0
ph-application-1508364558011-35731-jbxhr,363.0,364.0
ph-application-1508364558011-35782-gmdhs,363.0,364.0
ph-application-1508364558011-35829-2fxch,364.0,365.0
ph-application-1508364558011-35919-4vqxs,364.0,455.0
ph-application-1508364558011-35941-f29np,365.0,461.0
ph-application-1508364558011-36010-r9pvr,365.0,371.0
ph-application-1508364558011-36015-4rttf,369.0,376.0
ph-application-1508364558011-36024-5sphs,368.0,374.0
ph-application-1508364558011-36030-fjdzh,370.0,376.0
ph-application-1508364558011-36037-dzbq6,368.0,374.0
ph-application-1508364558011-36120-zlrv6,373.0,379.0
ph-application-1508364558011-36165-c7jlt,371.0,372.0
ph-application-1508364558011-36171-z7djt,373.0,374.0
ph-application-1508364558011-36198-5422m,371.0,372.0
ph-application-1508364558011-36207-qtqrk,369.0,371.0
ph-application-1508364558011-36249-qwmcr,367.0,434.0
ph-application-1508364558011-36299-4cxln,372.0,378.0
ph-application-1508364558011-36324-vfq2h,370.0,376.0
ph-application-1508364558011-36330-fqv2c,1691.0,1712.0
ph-application-1508364558011-36343-5llvj,1713.0,1734.0
ph-application-1508364558011-36387-pcg4h,397.0,403.0
ph-application-1508364558011-36394-xhkdt,1733.0,1755.0
ph-application-1508364558011-36430-5pzq5,360.0,387.0
ph-application-1508364558011-36434-67shk,358.0,370.0
ph-application-1508364558011-36482-nn76j,367.0,419.0
ph-application-1508364558011-36527-qdbdv,365.0,372.0
ph-application-1508364558011-36645-g5w24,1748.0,1754.0
ph-application-1508364558011-36741-zcx7z,368.0,374.0
ph-application-1508364558011-36798-5hsj6,392.0,398.0
ph-application-1508364558011-36822-xzm67,368.0,374.0
ph-application-1508364558011-36870-8j7jj,388.0,424.0
ph-application-1508364558011-36886-47wwb,386.0,392.0
ph-application-1508364558011-36888-bhnc7,1745.0,1751.0
ph-application-1508364558011-36895-294hr,408.0,409.0
ph-application-1508364558011-36914-srhvv,413.0,415.0
ph-application-1508364558011-36927-69p42,390.0,397.0
ph-application-1508364558011-37016-5dtl7,389.0,625.0
ph-application-1508364558011-37065-vcbgt,416.0,427.0
ph-application-1508364558011-37086-snr88,385.0,391.0
ph-application-1508364558011-37159-q8mdz,428.0,444.0
ph-application-1508364558011-37200-pwcrc,394.0,396.0
ph-application-1508364558011-37211-96zbg,392.0,424.0
ph-application-1508364558011-37230-95flj,396.0,423.0
ph-application-1508364558011-37291-8q292,403.0,424.0
ph-application-1508364558011-37302-zzzm5,427.0,439.0
ph-application-1508364558011-37345-vddwb,425.0,437.0
ph-application-1508364558011-37411-vx5pc,424.0,435.0
ph-application-1508364558011-37418-9chrv,433.0,440.0
ph-application-1508364558011-37432-bpm7v,432.0,453.0
ph-application-1508364558011-37433-mr2hc,430.0,451.0
ph-application-1508364558011-37453-tv2mw,428.0,439.0
ph-application-1508364558011-37464-8f65m,431.0,447.0
ph-application-1508364558011-37467-lss6k,429.0,450.0
ph-application-1508364558011-37474-n2x54,427.0,453.0
ph-application-1508364558011-37543-hsjfd,432.0,453.0
ph-application-1508364558011-37544-t2jbc,434.0,445.0
ph-application-1508364558011-37583-z7fb7,443.0,454.0
ph-application-1508364558011-37589-fwlv8,441.0,452.0
ph-application-1508364558011-37590-bhs87,439.0,465.0
ph-application-1508364558011-37602-bctkr,443.0,474.0
ph-application-1508364558011-37610-xs5x2,441.0,462.0
ph-application-1508364558011-37628-dm2bt,444.0,456.0
ph-application-1508364558011-37682-hx6xg,443.0,464.0
ph-application-1508364558011-37708-gc684,444.0,466.0
ph-application-1508364558011-37783-k2qxx,1689.0,1925.0
ph-application-1508364558011-37844-xz9h5,440.0,447.0
ph-application-1508364558011-37896-gcbfq,1923.0,1940.0
ph-application-1508364558011-38015-mfsqw,449.0,455.0
ph-application-1508364558011-38058-ttzqj,463.0,484.0
ph-application-1508364558011-38114-qfsn5,445.0,447.0
ph-application-1508364558011-38122-2s9s4,451.0,452.0
ph-application-1508364558011-38154-nsdj6,449.0,450.0
ph-application-1508364558011-38194-ksqjp,447.0,448.0
ph-application-1508364558011-38217-tkvff,453.0,454.0
ph-application-1508364558011-38218-nm55w,451.0,452.0
ph-application-1508364558011-38229-hhs4n,449.0,450.0
ph-application-1508364558011-38308-25cwh,455.0,456.0
ph-application-1508364558011-38336-m8qgc,453.0,454.0
ph-application-1508364558011-38375-f6p8d,451.0,452.0
ph-application-1508364558011-38489-rdfjg,455.0,461.0
ph-application-1508364558011-38532-sl96d,453.0,454.0
ph-application-1508364558011-38549-ncsc2,451.0,452.0
ph-application-1508364558011-38562-8mng5,457.0,458.0
ph-application-1508364558011-38635-f5vgh,455.0,456.0
ph-application-1508364558011-38657-pglmm,461.0,463.0
ph-application-1508364558011-38685-ljr44,459.0,462.0
ph-application-1508364558011-38725-jpsmz,458.0,460.0
ph-application-1508364558011-38760-n64fp,455.0,457.0
ph-application-1508364558011-38844-bnk4k,453.0,466.0
ph-application-1508364558011-38862-8vzsx,452.0,464.0
ph-application-1508364558011-38916-twl4n,449.0,462.0
