pod,queue_sec,jct_sec
ph-application-1508364558011-32667-h56tv,142.0,203.0
ph-application-1508364558011-32745-bwdm7,145.0,156.0
ph-application-1508364558011-32779-cs4kf,143.0,149.0
ph-application-1508364558011-32806-l9q78,141.0,147.0
ph-application-1508364558011-32851-ms6p6,144.0,150.0
ph-application-1508364558011-32889-hjhhd,147.0,178.0
ph-application-1508364558011-32946-585dd,145.0,146.0
ph-application-1508364558011-32978-6gsgw,148.0,149.0
ph-application-1508364558011-33029-869qr,146.0,147.0
ph-application-1508364558011-33031-swqtm,144.0,145.0
ph-application-1508364558011-33085-4bsg7,147.0,258.0
ph-application-1508364558011-33101-fscv2,145.0,147.0
ph-application-1508364558011-33116-ddbbm,143.0,145.0
ph-application-1508364558011-33153-fwcg8,146.0,147.0
ph-application-1508364558011-33174-t4pph,147.0,154.0
ph-application-1508364558011-33175-f2ml4,144.0,146.0
ph-application-1508364558011-33209-tvht4,233.0,279.0
ph-application-1508364558011-33243-wt8r5,143.0,150.0
ph-application-1508364558011-33322-92w47,2074.0,2081.0
ph-application-1508364558011-33324-jbb7p,150.0,156.0
ph-application-1508364558011-33346-dftrf,142.0,144.0
ph-application-1508364558011-33360-2tqrg,146.0,147.0
ph-application-1508364558011-33523-mfgk9,149.0,265.0
ph-application-1508364558011-33542-rznwv,147.0,178.0
ph-application-1508364558011-33545-sj6f6,150.0,281.0
ph-application-1508364558011-33562-ds9qh,148.0,179.0
ph-application-1508364558011-33592-zvw6g,156.0,207.0
ph-application-1508364558011-33630-8cwqm,164.0,351.0
ph-application-1508364558011-33699-sm6ng,173.0,179.0
ph-application-1508364558011-33708-qgfrw,176.0,192.0
ph-application-1508364558011-33709-48xs7,179.0,185.0
ph-application-1508364558011-33723-cw64w,187.0,198.0
ph-application-1508364558011-33765-2ftsb,190.0,196.0
ph-application-1508364558011-33777-rnsbq,219.0,230.0
ph-application-1508364558011-33786-xfd59,233.0,284.0
ph-application-1508364558011-33860-88hn7,241.0,277.0
ph-application-1508364558011-33910-jv4lw,244.0,256.0
ph-application-1508364558011-34065-6lrqj,242.0,274.0
ph-application-1508364558011-34096-6hqss,240.0,252.0
ph-application-1508364558011-34134-lptbj,238.0,250.0
ph-application-1508364558011-34196-6vx6d,251.0,263.0
ph-application-1508364558011-34251-97gbm,250.0,261.0
ph-application-1508364558011-34256-d5cdv,248.0,259.0
ph-application-1508364558011-34261-h6ctk,246.0,257.0
ph-application-1508364558011-34329-qh47f,259.0,285.0
ph-application-1508364558011-34385-7jjdl,257.0,259.0
ph-application-1508364558011-34405-vnf7c,255.0,272.0
ph-application-1508364558011-34440-2mxzk,253.0,260.0
ph-application-1508364558011-34484-n2srw,256.0,338.0
ph-application-1508364558011-34506-8rlzd,254.0,306.0
ph-application-1508364558011-34510-2z79q,252.0,264.0
ph-application-1508364558011-34531-d4msd,255.0,337.0
ph-application-1508364558011-34532-g8qgw,253.0,335.0
ph-application-1508364558011-34591-vfcs9,262.0,318.0
ph-application-1508364558011-34599-h2pkp,260.0,321.0
ph-application-1508364558011-34726-cfp2w,268.0,329.0
ph-application-1508364558011-34739-s2bmc,297.0,363.0
ph-application-1508364558011-34752-x9qd6,295.0,366.0
ph-application-1508364558011-34784-h7gsz,314.0,375.0
ph-application-1508364558011-34890-4p9j9,317.0,348.0
ph-application-1508364558011-34895-p4g65,320.0,331.0
ph-application-1508364558011-34905-wlmn5,323.0,345.0
ph-application-1508364558011-34907-6nq85,321.0,343.0
ph-application-1508364558011-34937-4dm7s,319.0,346.0
ph-application-1508364558011-34960-mpmtm,328.0,339.0
ph-application-1508364558011-34966-ffslt,341.0,353.0
ph-application-1508364558011-34993-zjdh8,339.0,401.0
ph-application-1508364558011-35067-9x7lx,337.0,399.0
