policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,13914,1936477.6999999993,3567520.0,3880386.8000000007,3915838.1000000006,2374.640732265446,42149.34693877549,349622.50000000006,100.0,74.13556712711365
sjf,120079,96.09999999962747,188467.30000000075,15528417.600000005,36499740.70000002,1.1875,156.00353982300905,502797.9833333333,100.0,98.60718861535646
las,120079,23306.200000001118,3261797.000000001,19993847.59999999,36194652.3,54.43829787231268,2037.4920848504037,1232590.0444444446,100.0,98.88384851522301
kueue,120079,23306.200000001118,3261797.000000001,19993847.59999999,36194652.3,54.43829787231268,2037.4920848504037,1232590.0444444446,100.0,98.88384851522301
easy,120079,405357.6999999997,2695502.1999999974,18860878.500000004,34144308.90000001,475.9816873116842,5367.368518518509,668318.7157894729,100.0,98.43488941735593
themis,120079,298.5,258974.59999999823,15025277.700000007,36755669.30000003,1.648710990500898,183.90682926828086,607278.9611111098,100.0,98.81759091346304
sfqa,26589,1482212.0,2904073.7,3841177.0,4258620.1,1386.312030075188,32280.641304347828,239779.25384615382,100.0,80.52648741646613
sfqa-auto,13914,1738877.0,3351429.0,3763190.0,3791973.7,1957.4157665505224,36341.473333333335,338913.56363636366,100.0,69.52583703930608
fgd,120079,23306.200000001118,3261797.000000001,19993847.59999999,36194652.3,54.43829787231268,2037.4920848504037,1232590.0444444446,100.0,98.88384851522301
