scope,config,placement,policy,gpu,kind,n,q_p50,q_p99,fair_mean,fair_p1,alloc_avg,wall_s,mcts_calls,mcts_rollouts,error
full,512:hetero,round_robin,sjf,512,hetero,111586,1110.0,7898439.0,96.38,0.0,99.1,28.03,0,0,
full,512:single,compact,fifo,512,single,111586,1216806.0,2151063.0,100.0,100.0,98.9,8.81,0,0,
full,512:single,mcts,fifo,512,single,111586,1216806.0,2151063.0,100.0,100.0,98.9,14.93,111586,1055928,
full,512:single,mostallocated,fifo,512,single,111586,1216806.0,2151063.0,100.0,100.0,98.9,9.8,0,0,
full,512:single,round_robin,fifo,512,single,111586,1216806.0,2151063.0,100.0,100.0,98.9,11.8,0,0,
full,512:single,compact,las,512,single,111586,112893.5,2380113.5,96.51,30.85,99.0,27.05,0,0,
full,512:single,mcts,las,512,single,111586,112893.5,2380113.5,96.51,30.85,99.0,47.86,111586,315968,
full,512:single,mostallocated,las,512,single,111586,112893.5,2380113.5,96.51,30.85,99.0,25.57,0,0,
full,512:single,round_robin,las,512,single,111586,112893.5,2380113.5,96.51,30.85,99.0,31.29,0,0,
full,512:single,compact,sfqa,512,single,111586,492186.5,2387071.0,97.26,39.79,98.9,29.13,0,0,
full,512:single,mcts,sfqa,512,single,111586,492143.0,2409652.5,97.18,39.76,98.8,34.51,111586,1273744,
full,512:single,mostallocated,sfqa,512,single,111586,491798.5,2410038.5,97.22,41.36,98.8,29.21,0,0,
full,512:single,round_robin,sfqa,512,single,111586,561312.0,2352845.0,97.39,43.97,98.9,27.1,0,0,
full,512:single,compact,sfqa-auto,512,single,111586,612387.5,2292393.0,97.66,54.19,98.9,65.89,0,0,
full,512:single,mcts,sfqa-auto,512,single,111586,603398.0,2304563.0,97.62,54.97,98.8,40.84,111586,1240552,
full,512:single,mostallocated,sfqa-auto,512,single,111586,607032.5,2308638.0,97.6,53.07,98.8,35.08,0,0,
full,512:single,round_robin,sfqa-auto,512,single,111586,694675.0,2226975.0,97.93,62.05,98.9,31.56,0,0,
full,512:single,compact,sjf,512,single,111586,643.0,954826.5,98.62,64.11,98.9,10.2,0,0,
full,512:single,mcts,sjf,512,single,111586,643.0,954826.5,98.62,64.11,98.9,13.93,111586,815408,
full,512:single,mostallocated,sjf,512,single,111586,643.0,954826.5,98.62,64.11,98.9,11.11,0,0,
full,512:single,round_robin,sjf,512,single,111586,643.0,954826.5,98.62,64.11,98.9,13.61,0,0,
full,256:single,compact,fifo,256,single,111586,4932803.0,10896832.5,100.0,100.0,99.0,11.83,0,0,
full,256:single,mcts,fifo,256,single,111586,4932803.0,10896832.5,100.0,100.0,99.0,15.14,111586,726112,
full,256:single,mostallocated,fifo,256,single,111586,4932803.0,10896832.5,100.0,100.0,99.0,11.39,0,0,
full,256:single,round_robin,fifo,256,single,111586,4932803.0,10896832.5,100.0,100.0,99.0,11.42,0,0,
full,256:single,compact,las,256,single,111586,2246007.0,10711355.0,92.56,0.0,99.5,50.81,0,0,
full,256:single,mcts,las,256,single,111586,2246007.0,10711355.0,92.56,0.0,99.5,48.16,111586,45016,
full,256:single,mostallocated,las,256,single,111586,2246007.0,10711355.0,92.56,0.0,99.5,50.31,0,0,
full,256:single,round_robin,las,256,single,111586,2246007.0,10711355.0,92.56,0.0,99.5,51.32,0,0,
full,256:single,compact,sfqa,256,single,111586,2104093.0,10573612.0,96.31,42.77,99.1,45.56,0,0,
full,256:single,mcts,sfqa,256,single,111586,1967282.0,10588016.5,96.15,40.77,99.1,45.95,111586,818576,
full,256:single,mostallocated,sfqa,256,single,111586,2023461.5,10583705.5,96.22,41.89,99.1,44.73,0,0,
full,256:single,round_robin,sfqa,256,single,111586,2274044.0,10551539.0,97.4,53.5,99.1,47.38,0,0,
full,256:single,compact,sfqa-auto,256,single,111586,2617888.0,10642515.5,97.07,55.61,99.1,52.1,0,0,
full,256:single,mcts,sfqa-auto,256,single,111586,2345395.0,10671682.0,96.97,56.57,99.1,54.86,111586,843224,
full,256:single,mostallocated,sfqa-auto,256,single,111586,2379068.5,10631411.5,96.91,54.29,99.0,52.12,0,0,
full,256:single,round_robin,sfqa-auto,256,single,111586,3068052.5,10723012.0,98.18,69.65,99.1,56.21,0,0,
full,256:single,compact,sjf,256,single,111586,1766.5,11389621.5,93.45,0.0,99.4,34.88,0,0,
full,256:single,mcts,sjf,256,single,111586,1766.5,11389621.5,93.45,0.0,99.4,35.43,111586,214464,
full,256:single,mostallocated,sjf,256,single,111586,1766.5,11389621.5,93.45,0.0,99.4,35.08,0,0,
full,256:single,round_robin,sjf,256,single,111586,1766.5,11389621.5,93.45,0.0,99.4,35.26,0,0,
full,256:hetero,fgd,sfqa-auto,256,hetero,111586,3927692,,,54.6,,,0,0,
full,512:hetero,fgd,sfqa-auto,512,hetero,111586,1786504,,,50.1,,,0,0,
full,512:single,fgd,sfqa-auto,512,single,111586,621411,,,53.5,,,0,0,
