pod,queue_sec,jct_sec
ph-application-1506638472019-16690-l2wxh,3.0,15.0
ph-application-1506638472019-16729-9pxxw,3.0,15.0
ph-application-1506638472019-16900-rtddq,7.0,18.0
ph-application-1506638472019-16926-znxqm,12.0,23.0
ph-application-1506638472019-17082-nvhdv,12.0,23.0
ph-application-1506638472019-17085-lhwg4,17.0,19.0
ph-application-1506638472019-1725-2fv7k,1.0,12.0
ph-application-1506638472019-17258-hn5s5,15.0,27.0
ph-application-1506638472019-17294-792xr,14.0,26.0
ph-application-1506638472019-17362-6dbts,12.0,23.0
ph-application-1506638472019-1750-4gmb5,9.0,21.0
ph-application-1506638472019-17904-jgccj,5.0,16.0
ph-application-1506638472019-17907-ftzlr,5.0,16.0
ph-application-1506638472019-18084-6zqsx,9.0,20.0
ph-application-1506638472019-18207-slr76,9.0,20.0
ph-application-1506638472019-18276-xd526,8.0,19.0
ph-application-1506638472019-18470-4hm4j,8.0,19.0
ph-application-1506638472019-18493-k6z84,13.0,24.0
ph-application-1506638472019-18532-gqrp2,12.0,13.0
ph-application-1506638472019-18557-48r8d,17.0,18.0
ph-application-1506638472019-1877-kkrhg,5.0,17.0
ph-application-1506638472019-18923-wsdrb,14.0,26.0
ph-application-1506638472019-18928-8rwk4,14.0,26.0
ph-application-1506638472019-19034-kftm7,18.0,30.0
ph-application-1506638472019-19117-7xm6j,18.0,20.0
ph-application-1506638472019-19306-8gjsm,17.0,29.0
ph-application-1506638472019-19513-rh4rm,17.0,18.0
ph-application-1506638472019-19556-jmkq7,919.0,930.0
ph-application-1506638472019-19623-4zd57,17.0,28.0
ph-application-1506638472019-19784-jlfjc,20.0,22.0
ph-application-1506638472019-19786-vwpzg,21.0,32.0
ph-application-1506638472019-19899-9csv6,20.0,31.0
ph-application-1506638472019-19914-ts8wm,25.0,36.0
ph-application-1506638472019-19951-fzsr5,25.0,36.0
ph-application-1506638472019-20023-9t6tp,23.0,34.0
ph-application-1506638472019-20025-sjldr,28.0,39.0
ph-application-1506638472019-20091-r8js7,28.0,39.0
ph-application-1506638472019-20201-tp6f7,21.0,32.0
ph-application-1506638472019-20205-xdm9j,26.0,37.0
ph-application-1506638472019-20224-2lqvh,30.0,41.0
ph-application-1506638472019-20291-zrjm7,791.0,802.0
ph-application-1506638472019-20332-bldbs,22.0,34.0
ph-application-1506638472019-20401-wgnrx,25.0,36.0
ph-application-1506638472019-20484-6qgx5,28.0,40.0
ph-application-1506638472019-20533-725cr,28.0,40.0
ph-application-1506638472019-2079-vp5mf,4.0,5.0
ph-application-1506638472019-20861-fngqc,769.0,781.0
ph-application-1506638472019-21399-2bq8r,21.0,32.0
ph-application-1506638472019-2144-68wsh,4.0,15.0
ph-application-1506638472019-21465-cvgjm,26.0,27.0
ph-application-1506638472019-21505-c5plw,26.0,37.0
ph-application-1506638472019-2154-zsjbz,4.0,15.0
ph-application-1506638472019-21808-r4xlh,30.0,41.0
ph-application-1506638472019-21917-njm5w,30.0,32.0
ph-application-1506638472019-22409-2w94x,25.0,27.0
ph-application-1506638472019-22500-ldd2x,21.0,33.0
ph-application-1506638472019-22618-jrpts,759.0,770.0
ph-application-1506638472019-22782-h94zn,22.0,34.0
ph-application-1506638472019-22833-w4np2,22.0,34.0
ph-application-1506638472019-2294-7qm94,15.0,26.0
ph-application-1506638472019-23006-58m94,20.0,32.0
ph-application-1506638472019-23233-mcsh2,18.0,30.0
ph-application-1506638472019-23381-vdd6z,18.0,20.0
ph-application-1506638472019-23482-qnwrk,23.0,24.0
ph-application-1506638472019-23499-224cb,23.0,35.0
ph-application-1506638472019-23523-xhlfz,27.0,39.0
ph-application-1506638472019-23556-vlsz5,27.0,39.0
ph-application-1506638472019-23638-97b2b,28.0,39.0
ph-application-1506638472019-23868-n5hrh,32.0,43.0
ph-application-1506638472019-24322-68fxs,30.0,41.0
ph-application-1506638472019-24344-82ll6,30.0,31.0
ph-application-1506638472019-24475-cvtmc,749.0,760.0
ph-application-1506638472019-24615-6278b,23.0,34.0
ph-application-1506638472019-24628-6njb7,28.0,39.0
ph-application-1506638472019-2466-9vfsg,14.0,27.0
ph-application-1506638472019-24890-8h4hz,27.0,38.0
ph-application-1506638472019-25096-7dklc,32.0,33.0
ph-application-1506638472019-25213-7hpq8,32.0,43.0
ph-application-1506638472019-25220-spzhq,32.0,43.0
ph-application-1506638472019-25392-dkg86,36.0,38.0
ph-application-1506638472019-25601-bg8z7,35.0,47.0
ph-application-1506638472019-25750-gpsmm,34.0,46.0
ph-application-1506638472019-25947-dn7lf,33.0,45.0
ph-application-1506638472019-2598-m8b94,3.0,16.0
ph-application-1506638472019-26148-7tjcp,872.0,874.0
ph-application-1506638472019-26229-4qdzn,36.0,38.0
ph-application-1506638472019-26307-xgjsd,31.0,43.0
ph-application-1506638472019-26604-trjvj,27.0,38.0
ph-application-1506638472019-26717-pdxb4,32.0,43.0
ph-application-1506638472019-26756-t52wp,32.0,43.0
ph-application-1506638472019-27276-xvdtw,29.0,40.0
ph-application-1506638472019-27442-bbpqp,34.0,45.0
ph-application-1506638472019-2758-rf54v,2.0,15.0
ph-application-1506638472019-27716-p89jk,30.0,41.0
ph-application-1506638472019-27740-9prqm,40.0,51.0
ph-application-1506638472019-2789-qt4z6,2.0,15.0
ph-application-1506638472019-27912-sktk8,27.0,38.0
ph-application-1506638472019-27948-h8jl8,32.0,43.0
ph-application-1506638472019-28023-bgsxc,32.0,33.0
ph-application-1506638472019-28037-5p9rf,42.0,54.0
ph-application-1506638472019-28044-fqcb2,43.0,54.0
ph-application-1506638472019-28071-jh9t6,43.0,54.0
ph-application-1506638472019-28162-6qc6l,48.0,59.0
ph-application-1506638472019-28228-8b5mb,52.0,53.0
ph-application-1506638472019-28352-79gvw,52.0,64.0
ph-application-1506638472019-28770-lwkrg,50.0,62.0
ph-application-1506638472019-28791-9d85z,50.0,62.0
ph-application-1506638472019-2903-khvj8,3.0,15.0
ph-application-1506638472019-2905-c9bk6,3.0,15.0
ph-application-1506638472019-2921-pc9pk,3.0,15.0
ph-application-1506638472019-29344-2lgs8,41.0,42.0
ph-application-1506638472019-2939-cxbck,3.0,15.0
ph-application-1506638472019-29405-ph8bk,43.0,45.0
ph-application-1506638472019-29468-w2b2c,43.0,55.0
ph-application-1506638472019-2971-f4x6g,17.0,30.0
ph-application-1506638472019-2986-sl27z,17.0,30.0
ph-application-1506638472019-29936-w7mtj,37.0,50.0
ph-application-1506638472019-29974-bzpkk,37.0,49.0
ph-application-1506638472019-29987-l5m5w,824.0,835.0
ph-application-1506638472019-3026-695vm,17.0,29.0
ph-application-1506638472019-30423-7pzfp,31.0,43.0
ph-application-1506638472019-3057-srlpw,17.0,29.0
ph-application-1506638472019-30633-dc8sg,30.0,42.0
ph-application-1506638472019-30639-pf579,30.0,42.0
ph-application-1506638472019-30687-dxz64,30.0,42.0
ph-application-1506638472019-30757-qr2tk,30.0,42.0
ph-application-1506638472019-30904-xxbmb,40.0,51.0
ph-application-1506638472019-30919-4rwnv,45.0,58.0
ph-application-1506638472019-3102-869sh,17.0,29.0
ph-application-1506638472019-31022-ddm9v,44.0,57.0
ph-application-1506638472019-31025-wc8fj,44.0,57.0
ph-application-1506638472019-31048-xfvkp,44.0,56.0
ph-application-1506638472019-31067-d9sd4,43.0,55.0
ph-application-1506638472019-31191-h5s68,42.0,54.0
ph-application-1506638472019-31567-c4qzx,34.0,46.0
ph-application-1506638472019-31810-x2mn4,744.0,756.0
ph-application-1506638472019-31822-57t76,41.0,43.0
ph-application-1506638472019-3211-gszc8,17.0,19.0
ph-application-1506638472019-32235-wpgcq,12.0,23.0
ph-application-1506638472019-32295-fpdb9,16.0,28.0
ph-application-1506638472019-32362-nmskc,15.0,27.0
ph-application-1506638472019-3240-hzj74,17.0,30.0
ph-application-1506638472019-32418-445qv,15.0,27.0
