pod,queue_sec,jct_sec
ph-application-1506638472019-16690-whhsh,13.0,24.0
ph-application-1506638472019-16729-fw7wn,18.0,30.0
ph-application-1506638472019-16900-4ztbv,18.0,29.0
ph-application-1506638472019-16926-sqt2w,18.0,29.0
ph-application-1506638472019-17082-ccmhp,17.0,28.0
ph-application-1506638472019-17085-qgsrh,22.0,23.0
ph-application-1506638472019-1725-rt4t8,1.0,12.0
ph-application-1506638472019-17258-btgx9,21.0,32.0
ph-application-1506638472019-17294-z7c7n,19.0,30.0
ph-application-1506638472019-17362-z78hf,21.0,32.0
ph-application-1506638472019-1750-65jjz,10.0,21.0
ph-application-1506638472019-17904-xhwsb,4.0,15.0
ph-application-1506638472019-17907-s84dj,9.0,20.0
ph-application-1506638472019-18084-d5p2r,9.0,20.0
ph-application-1506638472019-18207-pg492,8.0,20.0
ph-application-1506638472019-18276-hq6m6,8.0,20.0
ph-application-1506638472019-18470-4t67v,12.0,23.0
ph-application-1506638472019-18493-2p9vh,12.0,23.0
ph-application-1506638472019-18532-qq5jw,17.0,18.0
ph-application-1506638472019-18557-ckc42,17.0,19.0
ph-application-1506638472019-1877-h96cg,5.0,16.0
ph-application-1506638472019-18923-7bssb,18.0,31.0
ph-application-1506638472019-18928-bcb6n,19.0,31.0
ph-application-1506638472019-19034-wj8ws,19.0,31.0
ph-application-1506638472019-19117-9r76m,19.0,21.0
ph-application-1506638472019-19306-6nllc,18.0,30.0
ph-application-1506638472019-19513-lgr5w,17.0,19.0
ph-application-1506638472019-19556-wfvwn,1077.0,1089.0
ph-application-1506638472019-19623-r4qcg,22.0,33.0
ph-application-1506638472019-19784-86sb8,21.0,22.0
ph-application-1506638472019-19786-lkfbj,21.0,33.0
ph-application-1506638472019-19899-5tnwn,20.0,32.0
ph-application-1506638472019-19914-c8x5n,25.0,36.0
ph-application-1506638472019-19951-4mr5d,29.0,41.0
ph-application-1506638472019-20023-vdvfq,28.0,40.0
ph-application-1506638472019-20025-6vkwb,28.0,40.0
ph-application-1506638472019-20091-2xp4c,27.0,39.0
ph-application-1506638472019-20201-cjgd7,26.0,37.0
ph-application-1506638472019-20205-l7d6z,25.0,37.0
ph-application-1506638472019-20224-kv4bx,36.0,47.0
ph-application-1506638472019-20291-m7gls,34.0,45.0
ph-application-1506638472019-20332-bsthq,22.0,34.0
ph-application-1506638472019-20401-495bv,25.0,37.0
ph-application-1506638472019-20484-rt7vt,34.0,45.0
ph-application-1506638472019-20533-kqtr8,34.0,45.0
ph-application-1506638472019-2079-wmg5n,4.0,5.0
ph-application-1506638472019-20861-c2gjv,29.0,40.0
ph-application-1506638472019-21399-zh4v4,31.0,42.0
ph-application-1506638472019-2144-tcsm6,4.0,15.0
ph-application-1506638472019-21465-r8pk8,35.0,37.0
ph-application-1506638472019-21505-tfb8r,35.0,47.0
ph-application-1506638472019-2154-64q8h,4.0,15.0
ph-application-1506638472019-21808-nfrm5,35.0,47.0
ph-application-1506638472019-21917-njr8j,34.0,36.0
ph-application-1506638472019-22409-9z9d2,35.0,37.0
ph-application-1506638472019-22500-4hnk7,31.0,43.0
ph-application-1506638472019-22618-74wf9,28.0,40.0
ph-application-1506638472019-22782-554h6,27.0,38.0
ph-application-1506638472019-22833-2qlfl,27.0,38.0
ph-application-1506638472019-2294-6lhjg,15.0,26.0
ph-application-1506638472019-23006-pkcvz,30.0,42.0
ph-application-1506638472019-23233-b7fpb,29.0,40.0
ph-application-1506638472019-23381-hdc7x,34.0,35.0
ph-application-1506638472019-23482-9sr8p,33.0,34.0
ph-application-1506638472019-23499-dpc4n,38.0,50.0
ph-application-1506638472019-23523-q4f8k,38.0,50.0
ph-application-1506638472019-23556-hmhg4,38.0,50.0
ph-application-1506638472019-23638-4fwzc,37.0,49.0
ph-application-1506638472019-23868-6dllt,36.0,48.0
ph-application-1506638472019-24322-2cqjr,35.0,46.0
ph-application-1506638472019-24344-rp7tz,39.0,40.0
ph-application-1506638472019-24475-68hmp,34.0,45.0
ph-application-1506638472019-24615-rtcrk,38.0,49.0
ph-application-1506638472019-24628-8p25t,44.0,56.0
ph-application-1506638472019-2466-dnpk6,13.0,27.0
ph-application-1506638472019-24890-ffwr4,43.0,55.0
ph-application-1506638472019-25096-n2mhx,43.0,45.0
ph-application-1506638472019-25213-r27ls,42.0,54.0
ph-application-1506638472019-25220-l8kpz,42.0,54.0
ph-application-1506638472019-25392-6mggk,42.0,44.0
ph-application-1506638472019-25601-ghwqd,46.0,57.0
ph-application-1506638472019-25750-n7wvv,45.0,56.0
ph-application-1506638472019-25947-f7cxn,43.0,54.0
ph-application-1506638472019-2598-cntrv,3.0,17.0
ph-application-1506638472019-26148-wg5h7,1031.0,1032.0
ph-application-1506638472019-26229-m72v9,47.0,48.0
ph-application-1506638472019-26307-9xg8n,47.0,59.0
ph-application-1506638472019-26604-v9wxb,42.0,54.0
ph-application-1506638472019-26717-xc2w9,42.0,54.0
ph-application-1506638472019-26756-sztpc,42.0,54.0
ph-application-1506638472019-27276-xfpjb,40.0,51.0
ph-application-1506638472019-27442-knxfs,43.0,55.0
ph-application-1506638472019-2758-dd89k,3.0,15.0
ph-application-1506638472019-27716-p4l49,40.0,52.0
ph-application-1506638472019-27740-p5bjd,51.0,62.0
ph-application-1506638472019-2789-kgfgj,3.0,15.0
ph-application-1506638472019-27912-fmpl9,38.0,49.0
ph-application-1506638472019-27948-9xxx9,48.0,59.0
ph-application-1506638472019-28023-s8smt,53.0,54.0
ph-application-1506638472019-28037-tfscm,53.0,64.0
ph-application-1506638472019-28044-nc2hr,53.0,64.0
ph-application-1506638472019-28071-d7z6r,58.0,69.0
ph-application-1506638472019-28162-mskv4,62.0,74.0
ph-application-1506638472019-28228-lwz96,63.0,64.0
ph-application-1506638472019-28352-2qfrz,62.0,73.0
ph-application-1506638472019-28770-q2b2v,61.0,73.0
ph-application-1506638472019-28791-k89gp,61.0,73.0
ph-application-1506638472019-2903-fxnrs,3.0,15.0
ph-application-1506638472019-2905-99d4k,3.0,16.0
ph-application-1506638472019-2921-gtsv7,3.0,15.0
ph-application-1506638472019-29344-k2rrp,61.0,62.0
ph-application-1506638472019-2939-mngbw,3.0,16.0
ph-application-1506638472019-29405-6hr24,64.0,66.0
ph-application-1506638472019-29468-vd6rf,49.0,60.0
ph-application-1506638472019-2971-2ljl6,18.0,31.0
ph-application-1506638472019-2986-kc584,17.0,30.0
ph-application-1506638472019-29936-2skj4,38.0,49.0
ph-application-1506638472019-29974-xfqkv,36.0,47.0
ph-application-1506638472019-29987-9m47l,982.0,994.0
ph-application-1506638472019-3026-crzhz,17.0,30.0
ph-application-1506638472019-30423-8xkg4,36.0,47.0
ph-application-1506638472019-3057-rpf2l,17.0,30.0
ph-application-1506638472019-30633-kdb5p,45.0,57.0
ph-application-1506638472019-30639-wbk7j,46.0,57.0
ph-application-1506638472019-30687-c4dtf,46.0,57.0
ph-application-1506638472019-30757-6vjgk,51.0,62.0
ph-application-1506638472019-30904-4ksbw,51.0,62.0
ph-application-1506638472019-30919-tt9d6,51.0,62.0
ph-application-1506638472019-3102-h24wb,17.0,30.0
ph-application-1506638472019-31022-pvhkp,50.0,62.0
ph-application-1506638472019-31025-vvwx6,50.0,62.0
ph-application-1506638472019-31048-45zt2,58.0,69.0
ph-application-1506638472019-31067-6p2h7,58.0,69.0
ph-application-1506638472019-31191-bfc5t,57.0,68.0
ph-application-1506638472019-31567-xwlk9,54.0,66.0
ph-application-1506638472019-31810-fbp74,46.0,58.0
ph-application-1506638472019-31822-295l4,61.0,62.0
ph-application-1506638472019-3211-jk6bn,17.0,20.0
ph-application-1506638472019-32235-7t9gw,22.0,34.0
ph-application-1506638472019-32295-g5ggx,22.0,33.0
ph-application-1506638472019-32362-pftjv,21.0,32.0
ph-application-1506638472019-3240-qsrfb,17.0,30.0
ph-application-1506638472019-32418-x7d54,31.0,42.0
ph-application-1506638472019-32508-6v5xh,31.0,42.0
ph-application-1506638472019-32550-q568g,31.0,42.0
ph-application-1506638472019-32572-48vdb,36.0,47.0
ph-application-1506638472019-32772-r4fxw,39.0,51.0
ph-application-1506638472019-32833-qkpkg,944.0,955.0
ph-application-1506638472019-33046-qqc5x,28.0,40.0
ph-application-1506638472019-33150-plzfr,25.0,37.0
ph-application-1506638472019-3329-jr7cc,18.0,30.0
ph-application-1506638472019-33435-l4z8d,23.0,34.0
ph-application-1506638472019-33537-6c84b,26.0,38.0
ph-application-1506638472019-33570-ml8c6,27.0,38.0
ph-application-1506638472019-33722-nn8fd,27.0,38.0
ph-application-1506638472019-3379-m48jp,21.0,32.0
ph-application-1506638472019-33837-gb486,31.0,42.0
ph-application-1506638472019-33851-5vks7,36.0,47.0
ph-application-1506638472019-33864-qh5kx,36.0,48.0
ph-application-1506638472019-3406-j5fmr,31.0,43.0
ph-application-1506638472019-34117-xswz7,35.0,47.0
ph-application-1506638472019-34119-4rtnd,35.0,47.0
ph-application-1506638472019-34131-sxvgk,40.0,42.0
ph-application-1506638472019-34355-zl4dl,38.0,40.0
ph-application-1506638472019-34420-xz9js,37.0,39.0
ph-application-1506638472019-34475-gl8pt,42.0,54.0
ph-application-1506638472019-34532-x684j,42.0,53.0
ph-application-1506638472019-34620-lcsm2,42.0,53.0
ph-application-1506638472019-34661-9xpgq,42.0,53.0
ph-application-1506638472019-34779-rwgnn,46.0,57.0
ph-application-1506638472019-34791-gz7hc,46.0,47.0
ph-application-1506638472019-34844-jnw47,46.0,58.0
ph-application-1506638472019-34874-dtd92,46.0,58.0
ph-application-1506638472019-35113-prr2z,48.0,59.0
ph-application-1506638472019-35115-dx64j,53.0,65.0
ph-application-1506638472019-35121-zs9l4,59.0,70.0
ph-application-1506638472019-35284-b2j9s,57.0,68.0
ph-application-1506638472019-35339-4lc4b,57.0,68.0
ph-application-1506638472019-35388-nftjg,932.0,934.0
ph-application-1506638472019-35496-srwpj,61.0,62.0
ph-application-1506638472019-35512-nb64w,66.0,68.0
ph-application-1506638472019-3565-qnkh8,45.0,46.0
ph-application-1506638472019-35771-j6zjp,65.0,77.0
ph-application-1506638472019-35788-nh54x,65.0,77.0
ph-application-1506638472019-35813-pc5kt,65.0,77.0
ph-application-1506638472019-35887-5xqp4,64.0,76.0
ph-application-1506638472019-35897-542ct,69.0,71.0
ph-application-1506638472019-35966-mtln6,69.0,81.0
ph-application-1506638472019-3613-phztd,29.0,41.0
ph-application-1506638472019-36209-hwdhh,68.0,79.0
ph-application-1506638472019-36326-rlgr4,68.0,79.0
ph-application-1506638472019-36496-tdsdb,72.0,83.0
ph-application-1506638472019-36764-5qnn7,74.0,85.0
ph-application-1506638472019-36954-fq9fq,71.0,82.0
ph-application-1506638472019-36973-fh6ln,71.0,83.0
ph-application-1506638472019-37140-rjht4,69.0,81.0
ph-application-1506638472019-37167-sg8rx,73.0,85.0
ph-application-1506638472019-37278-t8jt4,69.0,81.0
ph-application-1506638472019-37303-dmdkg,69.0,81.0
