pod,queue_sec,jct_sec
ph-application-1504131676014-19633-klkbv,1.0,12.0
ph-application-1504131676014-19933-t6t6m,0.0,11.0
ph-application-1504131676014-20042-9bz2h,5.0,16.0
ph-application-1504131676014-20090-nr4j6,5.0,17.0
ph-application-1504131676014-20177-9jvsc,4.0,16.0
ph-application-1504131676014-20289-7r98k,21.0,22.0
ph-application-1504131676014-20322-942sd,4.0,15.0
ph-application-1504131676014-20357-lzr96,3.0,14.0
ph-application-1504131676014-20421-rnbsv,8.0,19.0
ph-application-1504131676014-20455-qsqp4,6.0,18.0
ph-application-1504131676014-20521-htspw,3.0,15.0
ph-application-1504131676014-20540-rbffj,13.0,25.0
ph-application-1504131676014-20644-fbmvk,17.0,30.0
ph-application-1504131676014-20710-qtkxl,15.0,27.0
ph-application-1504131676014-20811-rmzdj,14.0,27.0
ph-application-1504131676014-20879-99nqn,14.0,26.0
ph-application-1504131676014-21043-2znft,7.0,18.0
ph-application-1504131676014-21218-m98v4,2.0,14.0
ph-application-1504131676014-21317-ncpfq,12.0,23.0
ph-application-1504131676014-21364-rzf6k,5.0,16.0
ph-application-1504131676014-21526-f5kpl,6.0,18.0
ph-application-1504131676014-21869-kgdcj,4.0,16.0
ph-application-1504131676014-22022-zktxf,2.0,14.0
ph-application-1504131676014-22221-ppltx,0.0,12.0
ph-application-1504131676014-22358-btf8b,4.0,16.0
ph-application-1504131676014-22359-zxtqq,4.0,16.0
ph-application-1504131676014-22487-97k87,3.0,15.0
ph-application-1504131676014-22594-grfkb,2.0,13.0
ph-application-1504131676014-22619-26jlc,1.0,2.0
ph-application-1504131676014-22752-4kqbk,4.0,16.0
ph-application-1504131676014-22845-8gngj,10.0,21.0
ph-application-1504131676014-23473-jmwgn,3.0,15.0
ph-application-1504131676014-23497-bqm4p,2.0,13.0
ph-application-1504131676014-23554-85th5,17.0,28.0
ph-application-1504131676014-23623-4gnrk,1.0,12.0
ph-application-1504131676014-23778-nxfs6,1.0,13.0
ph-application-1504131676014-23926-qnr6z,5.0,16.0
ph-application-1504131676014-24590-jcd6k,3.0,4.0
ph-application-1504131676014-24734-nvrgm,14.0,25.0
ph-application-1504131676014-24780-z9b6l,3.0,14.0
ph-application-1504131676014-24975-h5rtl,1.0,12.0
ph-application-1504131676014-24991-72hzn,20.0,31.0
ph-application-1504131676014-25039-nrsfg,3.0,14.0
ph-application-1504131676014-25063-7jgg8,5.0,16.0
ph-application-1504131676014-25113-48fsk,4.0,15.0
ph-application-1506638472019-0065-g22bl,4.0,15.0
ph-application-1506638472019-0213-n4gks,8.0,10.0
ph-application-1506638472019-0273-fs9th,66.0,67.0
ph-application-1506638472019-0445-d2hsv,2.0,14.0
ph-application-1506638472019-0794-b6s99,1.0,13.0
ph-application-1506638472019-0805-pbtrh,0.0,12.0
ph-application-1506638472019-0864-m7v7v,5.0,17.0
ph-application-1506638472019-0865-5c5zb,5.0,17.0
ph-application-1506638472019-0870-khxnn,5.0,17.0
ph-application-1506638472019-0922-gz6hg,6.0,17.0
ph-application-1506638472019-0928-s9wq5,6.0,17.0
ph-application-1506638472019-0962-fdgp5,15.0,27.0
ph-application-1506638472019-0969-hgnxb,15.0,27.0
ph-application-1506638472019-10000-wk455,4.0,15.0
ph-application-1506638472019-10307-fspx7,67.0,69.0
ph-application-1506638472019-1037-xt7fr,16.0,27.0
ph-application-1506638472019-10403-t9t7m,64.0,66.0
ph-application-1506638472019-10573-54n4k,66.0,78.0
ph-application-1506638472019-10607-jqgdt,168.0,179.0
ph-application-1506638472019-10612-pkvm8,65.0,77.0
ph-application-1506638472019-10647-ks7r6,65.0,77.0
ph-application-1506638472019-10771-xjd6r,65.0,77.0
ph-application-1506638472019-10885-bl4cz,64.0,76.0
ph-application-1506638472019-1105-68nln,18.0,30.0
