policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,111586,1216806.0,2057109.0,2151063.0,2179800.5,749.9077881619937,28352.446969696968,214871.25,100.0,98.86347651956083
sjf,111586,643.0,18401.5,954826.5,4691309.5,1.626984126984127,8.820647419072616,22709.647058823528,100.0,98.8918595141728
las,111586,112893.5,1523487.5,2380113.5,2606881.5,72.28530259365995,5633.06,252310.85,100.0,98.98445096989985
kueue,111586,6889.5,46045.0,3432918.0,4170055.5,5.319148936170213,101.92357059509918,386479.3,100.0,98.93416375716865
easy,111586,1003318.5,1898466.0,2122061.0,2159765.0,531.1248430042702,10891.756097560976,205236.3,100.0,98.83211874199672
themis,111586,1908.5,23157.0,2270068.5,3707747.5,3.215409658166034,13.026654411764707,17435.404761904763,100.0,98.92259242431395
sfqa,111586,491798.5,1356032.0,2410038.5,2586697.5,314.6384379785605,14388.6015625,254171.55,100.0,98.81041727381314
sfqa-auto,111586,607032.5,1430415.0,2308638.0,2520115.5,376.04000829187396,16986.41891891892,235524.85,100.0,98.8191967948192
fgd,111586,112893.5,1523487.5,2380113.5,2606881.5,72.28530259365995,5633.06,252310.85,100.0,98.98445096989985
lucid,111586,82.88597250077873,10087.183657981455,297006.3444444444,3152286.955196645,1.081364975169922,4.630424515896682,1831.5667092859744,100.0,98.61184721778005
sia,111586,198.0,541.0,2712.0,14837.0,1.0875486381322956,1.7651006711409396,39.29194630872483,100.0,67.74205042388796
