policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,368,10869062.0,17936313.5,18782431.0,18829246.5,106.21513599537037,748.1923214285714,4755.297638888889,100.0,52.34004739336493
sjf,368,533009.5,14674510.0,15988644.0,16298237.5,9.075208333333334,88.83880497685185,352.06444444444446,100.0,65.05867014341591
las,368,2606585.5,13666557.5,15052562.0,15444975.5,34.55618055555556,322.8366287878788,3713.2191666666668,100.0,67.13951935914552
kueue,368,2606585.5,13666557.5,15052562.0,15444975.5,34.55618055555556,322.8366287878788,3713.2191666666668,100.0,67.13951935914552
easy,368,5634418.5,12633251.5,13756520.0,13846564.5,58.94129050925926,341.65149305555553,3039.192361111111,100.0,59.53947368421053
themis,368,1516128.5,14015605.0,18079964.5,18695614.0,21.376631944444444,104.98411168981481,1453.1231944444444,100.0,66.83573298429319
sfqa,368,9295372.5,15516608.5,16355481.5,16402297.0,90.08666087962963,651.8848015873016,4103.151111111111,100.0,60.366222760290555
sfqa-auto,368,10443972.0,17108033.5,17982946.0,18029761.5,100.00513020833333,716.4667261904762,4549.219861111111,100.0,53.72114216281896
fgd,368,2606585.5,13666557.5,15052562.0,15444975.5,34.55618055555556,322.8366287878788,3713.2191666666668,100.0,67.13951935914552
lucid,368,387217.61903754855,7202355.431817045,12051002.506980445,12329435.756980445,5.050034638207681,74.8737830032616,1852.126079569404,100.0,89.07766990291262
