pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-tdn9x-3826168464,task,project_2f4e1100,ns-16904374776309414,team_f4e34316,2023-11-08 12:15:00+00:00,2024-01-05 08:00:00+00:00,1,57 days 19:45:00,3,53.06604226,A100,y
run-pipeline-gpu-cqxgz-1528876722,task,project_6a267269,ns-16904409679649498,team_6a267269,2023-11-08 12:15:00+00:00,2023-11-27 07:30:00+00:00,8,18 days 19:15:00,3,49.93658493,A100,n
run-pipeline-gpu-8z2pg-3801962406,task,project_b562d12d,ns-16904458533318198,team_d9ac15fb,2023-11-08 12:15:00+00:00,2023-11-09 09:15:00+00:00,2,0 days 21:00:00,5,95.25975119,A30,y
run-pipeline-gpu-fcthj-1525357944,task,project_da54fd5d,ns-1690440796148727,,2023-11-08 12:15:00+00:00,2023-11-24 08:00:00+00:00,1,15 days 19:45:00,5,88.80132818,A100,n
run-pipeline-gpu-qr2fk-3879037461,task,project_da54fd5d,ns-1690440796148727,,2023-11-08 12:15:00+00:00,2023-11-13 00:15:00+00:00,1,4 days 12:00:00,4,67.79900093,A100,y
run-pipeline-gpu-qgdht-488548089,task,project_da54fd5d,ns-1690440796148727,,2023-11-08 12:15:00+00:00,2023-11-23 15:45:00+00:00,1,15 days 03:30:00,5,87.06974553,A100,y
run-pipeline-gpu-dzqlw-1162961189,task,project_da54fd5d,ns-1690440796148727,team_d9ac15fb,2023-11-08 12:15:00+00:00,2023-11-14 02:30:00+00:00,1,5 days 14:15:00,4,76.03600652,A100,y
run-pipeline-gpu-brrw5-2583146811,task,project_dbf8ec73,ns-1682430413891001,,2023-11-08 12:15:00+00:00,2024-01-04 23:45:00+00:00,4,57 days 11:30:00,4,77.47030524,A100,y
run-pipeline-gpu-hbv98-3605332206,task,project_f657e4a8,ns-16971081797966623,,2023-11-08 12:15:00+00:00,2024-02-07 15:00:00+00:00,8,91 days 02:45:00,5,98.717209,A100,y
run-pipeline-gpu-8g5pb-2879794351,task,project_6a267269,ns-16904409679649498,,2023-11-08 12:15:00+00:00,2023-11-22 01:30:00+00:00,8,13 days 13:15:00,5,94.08540261,A100,y
run-pipeline-gpu-q692j-3150263403,task,project_2f4e1100,ns-16904374776309414,team_f4e34316,2023-11-08 12:15:00+00:00,2023-11-10 02:30:00+00:00,1,1 days 14:15:00,1,0,A100,y
run-pipeline-gpu-cqgld-154854302,task,project_2f4e1100,ns-16904374776309414,team_f4e34316,2023-11-08 12:15:00+00:00,2023-11-09 00:45:00+00:00,1,0 days 12:30:00,1,7.908286,A100,y
run-pipeline-gpu-gjvg9-1789996226,task,project_48c11901,ns-16904458681476984,team_6a267269,2023-11-08 12:15:00+00:00,2023-11-16 06:00:00+00:00,4,7 days 17:45:00,5,95.71886178,A100,y
run-pipeline-gpu-m46vh-3517775556,task,project_6a267269,ns-16904409679649498,team_6a267269,2023-11-08 12:15:00+00:00,2023-11-16 08:15:00+00:00,1,7 days 20:00:00,4,75.40088737,A100,y
run-pipeline-gpu-x8kqd-3503434973,task,project_6a267269,ns-16904409679649498,team_6a267269,2023-11-08 12:15:00+00:00,2024-01-03 04:00:00+00:00,2,55 days 15:45:00,5,98.85726932,A100,y
run-pipeline-gpu-9fg4g-4198045470,task,project_6a267269,ns-16904409679649498,team_6a267269,2023-11-08 12:15:00+00:00,2023-12-16 00:45:00+00:00,4,37 days 12:30:00,5,91.01133401,A100,n
run-pipeline-gpu-6gscd-4052565872,task,project_6a267269,ns-16904409679649498,team_6a267269,2023-11-08 12:15:00+00:00,2023-11-14 05:45:00+00:00,2,5 days 17:30:00,3,49.008932,A100,y
