pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-9fg4g-4198045470,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-03-06 11:00:00+00:00,2024-03-07 00:00:00+00:00,5,0 days 13:00:00,5,97.46977348695178,A100,y
run-pipeline-gpu-8g5pb-2879794351,task,PROJECT_13,ns-16904409679649498,,2024-03-29 07:00:00+00:00,2024-04-01 00:00:00+00:00,4,2 days 17:00:00,5,93.87823765337424,A100,n
run-pipeline-gpu-qr2fk-3879037461,task,PROJECT_5,ns-1690440796148727,,2024-04-04 02:00:00+00:00,2024-04-04 03:00:00+00:00,6,0 days 01:00:00,4,67.79900092592588,A100,y
run-pipeline-gpu-cqxgz-1528876722,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-04-01 01:00:00+00:00,2024-05-20 00:00:00+00:00,1,48 days 23:00:00,3,53.08638975069249,A100,n
run-pipeline-gpu-8z2pg-3801962406,task,PROJECT_1,ns-16904458533318198,TEAM_2,2024-02-08 00:00:00+00:00,2024-02-14 05:00:00+00:00,1,6 days 05:00:00,5,95.25975119047618,A30,y
run-pipeline-gpu-x8kqd-3503434973,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-04-23 04:00:00+00:00,2024-05-13 00:00:00+00:00,1,19 days 20:00:00,5,98.8572693243494,A100,y
run-pipeline-gpu-cqgld-154854302,task,PROJECT_17,ns-16904374776309414,TEAM_3,2024-04-09 00:00:00+00:00,2024-04-21 19:00:00+00:00,8,12 days 19:00:00,1,7.908286000000004,A100,y
run-pipeline-gpu-q692j-3150263403,task,PROJECT_17,ns-16904374776309414,TEAM_3,2024-03-27 06:00:00+00:00,2024-03-27 07:00:00+00:00,7,0 days 01:00:00,1,0.0,A100,n
run-pipeline-gpu-fcthj-1525357944,task,PROJECT_5,ns-1690440796148727,,2024-03-19 08:00:00+00:00,2024-03-19 11:00:00+00:00,6,0 days 03:00:00,5,88.80132817643192,A100,y
run-pipeline-gpu-gjvg9-1789996226,task,PROJECT_7,ns-16904458681476984,TEAM_1,2024-03-19 03:00:00+00:00,2024-03-20 03:00:00+00:00,1,1 days 00:00:00,5,95.7139749663527,A100,y
run-pipeline-gpu-6gscd-4052565872,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-02-13 08:00:00+00:00,2024-02-15 05:00:00+00:00,7,1 days 21:00:00,3,50.15734327272728,A100,y
run-pipeline-gpu-5k6vd-106796021,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-02-08 00:00:00+00:00,2024-02-16 00:00:00+00:00,3,8 days 00:00:00,2,22.13909018181822,A100,n
run-pipeline-gpu-brrw5-2583146811,task,PROJECT_11,ns-1682430413891001,,2024-03-04 05:00:00+00:00,2024-03-06 01:00:00+00:00,6,1 days 20:00:00,4,77.5094294853206,A100,n
run-pipeline-gpu-qgdht-488548089,task,PROJECT_5,ns-1690440796148727,,2024-02-08 01:00:00+00:00,2024-02-16 02:00:00+00:00,5,8 days 01:00:00,5,87.06974552957378,A100,y
run-pipeline-gpu-dzqlw-1162961189,task,PROJECT_5,ns-1690440796148727,TEAM_2,2024-03-15 07:00:00+00:00,2024-03-25 15:00:00+00:00,6,10 days 08:00:00,4,76.03600651769088,A100,y
run-pipeline-gpu-hbv98-3605332206,task,PROJECT_10,ns-16971081797966623,,2024-04-25 16:00:00+00:00,2024-04-26 00:00:00+00:00,1,0 days 08:00:00,5,98.71720899737034,A100,y
run-pipeline-gpu-tdn9x-3826168464,task,PROJECT_17,ns-16904374776309414,TEAM_3,2024-04-11 07:00:00+00:00,2024-04-16 13:00:00+00:00,5,5 days 06:00:00,3,53.06604226265558,A100,y
run-pipeline-gpu-249fz-1917604606,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-03-25 05:00:00+00:00,2024-05-20 00:00:00+00:00,8,55 days 19:00:00,4,74.40807798507463,A100,y
