pod,queue_sec,jct_sec
ph-application-1506638472019-16690-hjkbl,13.0,24.0
ph-application-1506638472019-16729-8np8c,18.0,30.0
ph-application-1506638472019-16900-b86nd,17.0,29.0
ph-application-1506638472019-16926-8pxkc,18.0,29.0
ph-application-1506638472019-17082-qt5tw,22.0,33.0
ph-application-1506638472019-17085-9ks9g,22.0,23.0
ph-application-1506638472019-1725-2jcpn,1.0,12.0
ph-application-1506638472019-17258-9djgz,26.0,37.0
ph-application-1506638472019-17294-4h52m,30.0,41.0
ph-application-1506638472019-17362-l4vpj,26.0,38.0
ph-application-1506638472019-1750-d6t6p,10.0,21.0
ph-application-1506638472019-17904-r47zv,9.0,21.0
ph-application-1506638472019-17907-ss7vf,14.0,25.0
ph-application-1506638472019-18084-x29tn,19.0,30.0
ph-application-1506638472019-18207-pkf9v,24.0,36.0
ph-application-1506638472019-18276-67djl,23.0,35.0
ph-application-1506638472019-18470-crhzq,23.0,34.0
ph-application-1506638472019-18493-6dgwb,28.0,39.0
ph-application-1506638472019-18532-bsb6p,33.0,34.0
ph-application-1506638472019-18557-h2c5x,38.0,40.0
ph-application-1506638472019-1877-vtfrf,5.0,16.0
ph-application-1506638472019-18923-r7rph,35.0,47.0
ph-application-1506638472019-18928-v4m7d,35.0,47.0
ph-application-1506638472019-19034-5q7br,34.0,46.0
ph-application-1506638472019-19117-rwc9l,39.0,41.0
ph-application-1506638472019-19306-h767h,38.0,50.0
ph-application-1506638472019-19513-mxd9j,42.0,43.0
ph-application-1506638472019-19556-twbbd,1384.0,1395.0
ph-application-1506638472019-19623-zmtgc,47.0,59.0
ph-application-1506638472019-19784-8x4bv,47.0,48.0
ph-application-1506638472019-19786-vfmwk,47.0,58.0
ph-application-1506638472019-19899-5r2cv,46.0,57.0
ph-application-1506638472019-19914-ls5xg,51.0,62.0
ph-application-1506638472019-19951-94w8v,50.0,61.0
ph-application-1506638472019-20023-dfkvw,54.0,65.0
ph-application-1506638472019-20025-m8f4p,59.0,71.0
ph-application-1506638472019-20091-5sfld,58.0,70.0
ph-application-1506638472019-20201-kmts9,52.0,64.0
ph-application-1506638472019-20205-2xm8b,57.0,69.0
ph-application-1506638472019-20224-2ct4r,67.0,78.0
ph-application-1506638472019-20291-vr4d5,71.0,82.0
ph-application-1506638472019-20332-45225,53.0,65.0
ph-application-1506638472019-20401-qhwqm,56.0,67.0
ph-application-1506638472019-20484-zsp46,60.0,71.0
ph-application-1506638472019-20533-nz5rn,70.0,81.0
ph-application-1506638472019-2079-nkltk,4.0,5.0
ph-application-1506638472019-20861-nqdxh,70.0,82.0
ph-application-1506638472019-21399-58dvq,67.0,79.0
ph-application-1506638472019-2144-w7ggg,4.0,15.0
ph-application-1506638472019-21465-kwp7t,66.0,68.0
ph-application-1506638472019-21505-ffw79,71.0,83.0
ph-application-1506638472019-2154-vk9xv,4.0,15.0
ph-application-1506638472019-21808-9r4k9,72.0,83.0
ph-application-1506638472019-21917-xfmvs,72.0,73.0
ph-application-1506638472019-22409-9wcl9,72.0,73.0
ph-application-1506638472019-22500-fnhht,73.0,84.0
ph-application-1506638472019-22618-n6nmq,70.0,81.0
ph-application-1506638472019-22782-7mf2h,69.0,81.0
ph-application-1506638472019-22833-k4wsj,73.0,84.0
ph-application-1506638472019-2294-gqh8n,15.0,26.0
ph-application-1506638472019-23006-r5r46,72.0,84.0
ph-application-1506638472019-23233-n9ftv,75.0,86.0
ph-application-1506638472019-23381-qdfv6,81.0,85.0
ph-application-1506638472019-23482-gxx96,80.0,84.0
ph-application-1506638472019-23499-z279v,80.0,94.0
ph-application-1506638472019-23523-spg97,85.0,96.0
ph-application-1506638472019-23556-22dt4,85.0,96.0
ph-application-1506638472019-23638-4nv9b,85.0,96.0
ph-application-1506638472019-23868-zb7kw,86.0,97.0
ph-application-1506638472019-24322-hkrg6,84.0,95.0
ph-application-1506638472019-24344-6pkzh,96.0,99.0
ph-application-1506638472019-24475-qsfl5,91.0,104.0
ph-application-1506638472019-24615-62zjr,91.0,103.0
ph-application-1506638472019-24628-cl6zt,91.0,103.0
ph-application-1506638472019-2466-qhw6l,13.0,26.0
ph-application-1506638472019-24890-mnptr,90.0,102.0
ph-application-1506638472019-25096-f4c6j,95.0,96.0
ph-application-1506638472019-25213-v9jbp,94.0,105.0
ph-application-1506638472019-25220-ngcvt,99.0,110.0
ph-application-1506638472019-25392-fcdpv,104.0,106.0
ph-application-1506638472019-25601-qwrw6,103.0,115.0
ph-application-1506638472019-25750-lh4nb,102.0,114.0
ph-application-1506638472019-25947-k9774,100.0,112.0
ph-application-1506638472019-2598-qjp76,3.0,17.0
ph-application-1506638472019-26148-h5vl2,1337.0,1338.0
ph-application-1506638472019-26229-6n6vv,104.0,106.0
ph-application-1506638472019-26307-gmssx,99.0,111.0
ph-application-1506638472019-26604-fbxfs,99.0,111.0
ph-application-1506638472019-26717-smvzs,105.0,116.0
ph-application-1506638472019-26756-d7smm,105.0,116.0
ph-application-1506638472019-27276-p56mj,102.0,113.0
ph-application-1506638472019-27442-dj852,106.0,117.0
ph-application-1506638472019-2758-wp4s5,2.0,16.0
ph-application-1506638472019-27716-qw6hb,108.0,119.0
ph-application-1506638472019-27740-k49zb,113.0,124.0
ph-application-1506638472019-2789-84bqg,3.0,15.0
ph-application-1506638472019-27912-b2rxg,105.0,116.0
ph-application-1506638472019-27948-rb9j9,116.0,127.0
ph-application-1506638472019-28023-m56j9,116.0,117.0
ph-application-1506638472019-28037-lxgjp,121.0,132.0
ph-application-1506638472019-28044-xgnxl,121.0,132.0
ph-application-1506638472019-28071-wf59z,121.0,132.0
ph-application-1506638472019-28162-qkjhk,125.0,136.0
ph-application-1506638472019-28228-ngfwh,125.0,127.0
ph-application-1506638472019-28352-2zc8h,124.0,136.0
ph-application-1506638472019-28770-xpm25,123.0,135.0
