pod,queue_sec,jct_sec
ph-application-1506638472019-16690-tpbhr,59.0,70.0
ph-application-1506638472019-16729-lg9b4,55.0,66.0
ph-application-1506638472019-16900-lf66v,62.0,73.0
ph-application-1506638472019-16926-bjh52,61.0,73.0
ph-application-1506638472019-17082-6qc6q,61.0,73.0
ph-application-1506638472019-17085-fjrss,62.0,63.0
ph-application-1506638472019-1725-drqqs,0.0,11.0
ph-application-1506638472019-17258-fx9t9,64.0,76.0
ph-application-1506638472019-17294-x9rl7,65.0,77.0
ph-application-1506638472019-17362-bq7dh,63.0,74.0
ph-application-1506638472019-1750-nwmzz,10.0,21.0
ph-application-1506638472019-17904-9qdbm,45.0,56.0
ph-application-1506638472019-17907-hpxcw,53.0,64.0
ph-application-1506638472019-18084-s9dhv,53.0,64.0
ph-application-1506638472019-18207-z4k5f,48.0,60.0
ph-application-1506638472019-18276-s64dx,56.0,68.0
ph-application-1506638472019-18470-lml9d,52.0,63.0
ph-application-1506638472019-18493-fn5hl,58.0,69.0
ph-application-1506638472019-18532-x4bbp,58.0,59.0
ph-application-1506638472019-18557-9x2tl,58.0,59.0
ph-application-1506638472019-1877-fxpwr,1.0,12.0
ph-application-1506638472019-18923-6lnj9,59.0,70.0
ph-application-1506638472019-18928-qmvfn,60.0,71.0
ph-application-1506638472019-19034-kzm5n,62.0,73.0
ph-application-1506638472019-19117-rzh57,59.0,60.0
ph-application-1506638472019-19306-fwqw4,61.0,72.0
ph-application-1506638472019-19513-px6xv,60.0,61.0
ph-application-1506638472019-19556-c9dt4,273.0,284.0
ph-application-1506638472019-19623-xkm6l,62.0,73.0
ph-application-1506638472019-19784-jvqtc,63.0,65.0
ph-application-1506638472019-19786-z4snj,62.0,73.0
ph-application-1506638472019-19899-ffwtd,66.0,78.0
ph-application-1506638472019-19914-6mg4t,64.0,75.0
ph-application-1506638472019-19951-jrjcj,67.0,78.0
ph-application-1506638472019-20023-7nzxq,71.0,82.0
ph-application-1506638472019-20025-tk6fp,67.0,79.0
ph-application-1506638472019-20091-xk6gf,71.0,82.0
ph-application-1506638472019-20201-f7hx8,67.0,78.0
ph-application-1506638472019-20205-lrbxp,67.0,78.0
ph-application-1506638472019-20224-6q9zv,78.0,89.0
ph-application-1506638472019-20291-489r4,80.0,91.0
ph-application-1506638472019-20332-h6j2f,66.0,77.0
ph-application-1506638472019-20401-kn2tw,66.0,77.0
ph-application-1506638472019-20484-7t7kz,67.0,78.0
ph-application-1506638472019-20533-jmrtr,66.0,77.0
ph-application-1506638472019-2079-qch85,0.0,1.0
ph-application-1506638472019-20861-nmwll,72.0,83.0
ph-application-1506638472019-21399-4nnlt,74.0,85.0
ph-application-1506638472019-2144-4rjtv,0.0,11.0
ph-application-1506638472019-21465-4jtkc,71.0,72.0
ph-application-1506638472019-21505-5k67g,72.0,83.0
ph-application-1506638472019-2154-cnggv,2.0,14.0
ph-application-1506638472019-21808-p5q6b,74.0,85.0
ph-application-1506638472019-21917-2tr76,77.0,79.0
ph-application-1506638472019-22409-vdgc2,72.0,74.0
ph-application-1506638472019-22500-4dq87,70.0,81.0
ph-application-1506638472019-22618-xrg5m,67.0,78.0
ph-application-1506638472019-22782-vdkbk,71.0,82.0
ph-application-1506638472019-22833-s7d2l,70.0,82.0
ph-application-1506638472019-2294-27wg8,12.0,23.0
ph-application-1506638472019-23006-hpp7t,69.0,80.0
ph-application-1506638472019-23233-xr475,71.0,82.0
ph-application-1506638472019-23381-n79l9,70.0,71.0
ph-application-1506638472019-23482-qbsrl,68.0,69.0
ph-application-1506638472019-23499-lcx4f,73.0,84.0
ph-application-1506638472019-23523-zl96s,72.0,83.0
ph-application-1506638472019-23556-dh4mw,75.0,87.0
ph-application-1506638472019-23638-7tqsj,79.0,91.0
ph-application-1506638472019-23868-8jzdp,74.0,86.0
ph-application-1506638472019-24322-fhtq2,78.0,89.0
ph-application-1506638472019-24344-wmf2k,77.0,78.0
ph-application-1506638472019-24475-hzfkw,75.0,87.0
ph-application-1506638472019-24615-qj28v,75.0,86.0
ph-application-1506638472019-24628-8627c,76.0,87.0
ph-application-1506638472019-2466-qdf4t,10.0,21.0
