job_id,arrival_s,service_sec,gpu_count
ali-ffac040699ef24b39d76c0b7-worker#50032,166463.0,356.0,10
ali-365b55333e421a9c304d0f6c-worker#438316,166463.0,345.0,10
ali-36b35977f853073196346c3e-PyTorchWorker#9357,166569.0,683.0,1
ali-fab2353b9ec75913dc84a258-tensorflow#475709,166613.0,155.0,1
ali-14bc63ffe96256c70fc95f55-tensorflow#330143,166636.0,225.0,1
ali-de5c71e03fe8ebb4db50469a-tensorflow#40185,166652.0,708.0,1
ali-a9824c602f2ffed39d18fcae-tensorflow#386173,166663.0,325.0,1
ali-deba45f4ec3bf60c679b1793-tensorflow#551296,166691.0,396.0,1
ali-9a7ee4b5bc666d5cb47044dd-tensorflow#420955,166800.0,3501.0,1
ali-ed9b4dda0327cf7ac22fc4b8-tensorflow#96560,166846.0,4192.0,1
ali-2b260e4c4597652f2692df94-tensorflow#267044,166904.0,175.0,1
ali-325f108741143e0bbb30104b-PyTorchWorker#273615,167182.0,7532.0,4
ali-496d4c4e782f47e4c16ccbe5-tensorflow#272869,167185.0,3252.0,1
ali-3caa537e3a58eeb18565db6b-evaluator#136420,167369.0,1066.0,1
ali-fd09691995e43d1e8afc8917-worker#448543,167390.0,879.0,20
ali-3fc1127d432c8c160552db61-tensorflow#65144,167446.0,5556.0,1
ali-2f4446d0ee98d997315aebf6-worker#390168,167484.0,48.0,10
ali-c94ec2dd34c52109e695548a-PyTorchWorker#193885,167520.0,927.0,1
ali-5719c9eab35193317bb21a1b-tensorflow#334136,167594.0,195.0,1
ali-a14aed368e5fd951e396db85-PyTorchWorker#387540,167594.0,12204.0,4
ali-ac661e81097fc5634798dc64-tensorflow#330271,167652.0,6676.0,1
ali-8942cf79807bad25e9510318-evaluator#465119,167663.0,243.0,1
ali-a8b979c3aa7bee6bcaec463d-worker#278646,167665.0,206.0,2
ali-7b80b429204b355a9a2f0da4-tensorflow#48366,167825.0,4253.0,1
ali-34202bfe791e7fbf6d48718a-tensorflow#364096,168055.0,4989.0,1
ali-854afda457a86d3907122983-tensorflow#125837,168086.0,4561.0,1
ali-75da303eca6e3d5b729896fe-tensorflow#20036,168092.0,41.0,1
ali-4607f9a70ba132596d6ecd15-tensorflow#58805,168128.0,5549.0,1
ali-983c2f413a96892a66bc528a-tensorflow#147466,168137.0,5737.0,1
ali-b2deb5ecc57b29c30b2f10cb-worker#462858,168189.0,1553.0,50
ali-d265d24f63ada76b01867fe4-evaluator#479699,168281.0,2220.0,1
ali-f3c218d4ff3a283296bf1868-tensorflow#454343,168381.0,7423.0,1
ali-1eddf7b5ca4f019ad44d453b-tensorflow#259284,168425.0,22137.0,1
ali-c4e8645fc4b6381a1ce1708f-tensorflow#418559,168675.0,6239.0,1
ali-b15adb5bdf53acfd46214e30-tensorflow#141257,168701.0,7493.0,1
ali-97bffd72aa8ec584acec4daf-tensorflow#114536,168835.0,334.0,1
ali-2d3c1ca2af0b52b986042a7c-tensorflow#204404,168852.0,203.0,1
ali-09c3a64edf08b73c3e10e47b-tensorflow#335384,168861.0,235.0,1
ali-dd9d92cb2fb6af64790725fe-tensorflow#218704,168871.0,175.0,1
ali-76e6464b9fc96e30291e6518-tensorflow#298035,169119.0,10366.0,1
ali-52c0ed89a983b62e8b044b49-worker#204347,169148.0,44.0,3
ali-80528b0e949843d43331b7b3-PyTorchWorker#463364,169153.0,423.0,1
ali-962ec164055610af5d4c9b20-tensorflow#439260,169349.0,8282.0,1
ali-8a28e76e79035bb02c4d2ade-tensorflow#399249,169444.0,6698.0,1
ali-fd1e44d99d12a6b0b87638a7-tensorflow#16733,169462.0,2843.0,1
ali-130e1691a9f6d16c570c74ec-tensorflow#368025,169478.0,3706.0,1
ali-f0e8d9ad8aff33bc4ce68cdc-evaluator#233285,169486.0,274.0,1
ali-e1f0bbb5c39d26ba2c9448a6-tensorflow#253505,169538.0,4011.0,1
ali-42ae5b08c3310463a29f0b4a-PyTorchWorker#385504,169687.0,163.0,1
ali-ea71f85da7c8376252e26193-tensorflow#477725,169728.0,10677.0,1
ali-a3165a43973b89603b1376a6-tensorflow#28880,169918.0,2658.0,1
ali-8a7dfdbe7ba019fd0502065f-worker#76644,169979.0,849.0,1
ali-be65f2d8ac118c28c14574e4-worker#358571,169999.0,557.0,50
ali-7a0a33e3f1c31edfeb33e43c-tensorflow#86413,170046.0,5350.0,1
ali-a6b143079e5eaafe1897ff1a-tensorflow#56651,170074.0,2444.0,1
ali-ec8e28c779028c5bbad97baf-evaluator#481006,170258.0,1086.0,1
ali-bbb4aeb506247ae41138f5c0-tensorflow#493573,170326.0,5759.0,1
ali-1d25141b3d72c7ca6e5576a0-tensorflow#203970,170354.0,5701.0,1
ali-65434c056b149355e768ca7b-tensorflow#450084,170366.0,326.0,1
ali-a7bea99e2d9e9556f88f5b3d-tensorflow#349328,170403.0,40.0,2
ali-a4782a602f147da0507098cc-tensorflow#501051,170601.0,202.0,1
ali-be8a194c29f272f10ee618e0-tensorflow#14271,170686.0,3837.0,1
ali-30debc277718b9a693e51a8f-tensorflow#231357,170753.0,4524.0,1
ali-54ba56c59a47c449786bd050-tensorflow#238410,170777.0,4004.0,1
ali-70c02f53cde1a0024eff2b90-PyTorchWorker#310110,170944.0,513.0,1
ali-125b8631e9d47b7bd807cb40-tensorflow#150011,170996.0,1545.0,1
ali-2baac8ab4d2a0e8eb8fc0e29-tensorflow#496064,171046.0,6667.0,1
ali-06ae2cf09fa30d3d88854893-xComputeWorker#368520,171136.0,368.0,1
ali-ea9925e03aa6815f60d33487-tensorflow#311911,171244.0,828.0,1
ali-fa7beae5039e7d98d8e8571c-evaluator#34764,171411.0,565.0,1
ali-15ee05bbdbf709a3322d331d-tensorflow#192898,171416.0,968.0,1
ali-b39317ce65324d9373c743b5-evaluator#331459,171457.0,13252.0,1
ali-88fc54e9ba515523297220c4-tensorflow#411281,171666.0,1365.0,1
ali-cc53c7beb50f56160f7eb3e5-tensorflow#328810,171700.0,1485.0,1
ali-d1109e2180e449fcb5a8a9d2-PyTorchWorker#250107,171769.0,133.0,1
ali-c7e611f51716ddb0144a5859-tensorflow#348458,171863.0,4051.0,1
ali-a7b031df984cbe49df7cf041-evaluator#363752,172002.0,1006.0,1
ali-05c62baecd855e4cbd941d3c-tensorflow#254075,172119.0,5275.0,1
ali-f4cab5a4055e9c1a3923ad06-tensorflow#386488,172200.0,14.0,1
ali-afa49bea86b7da521f161927-tensorflow#556012,172258.0,7162.0,1
ali-779515ee1535eb848f5ccece-tensorflow#170997,172458.0,6388.0,1
ali-b1a92084e27964a65e32dfe9-tensorflow#525211,172482.0,2706.0,1
ali-81a23ec7c6822557b24edf5d-tensorflow#336482,172623.0,2130.0,1
ali-bd7d086a4971ca3accb4fad8-tensorflow#110615,172758.0,27.0,1
ali-ed8353ead0ca78cea5254ebb-tensorflow#471500,172784.0,161360.0,1
ali-4732e42132cc626264e9789a-worker#543478,172946.0,8983.0,30
ali-80574938533a8f3d914df39d-evaluator#155904,173038.0,1518.0,1
ali-b90da47c0496cbf8ff40acdb-worker#174884,173368.0,2096.0,10
ali-faeabff6b99fa2449ecede98-worker#402716,173368.0,1988.0,10
ali-85851b346cab98c7e2706ba4-worker#85342,173391.0,3559.0,16
ali-e08a45325462642c4aa320f9-PyTorchWorker#109951,173454.0,46.0,1
ali-2d7246368435fb0760e28247-tensorflow#272996,173571.0,1971.0,1
ali-120088bd3c37b075204c6046-tensorflow#296726,173939.0,60.0,1
ali-7c0a5df3ad663f70c6c5fb6d-evaluator#173393,174155.0,2783.0,1
ali-c440946f9e609b077f5ef10d-tensorflow#428486,174637.0,262.0,1
ali-9e5fc60129b26bca5a874e7e-worker#62443,174718.0,1423.0,20
ali-2ef29b4ed7429edef4d08b0c-worker#175727,174732.0,6281.0,7
ali-cb47a625f84ad1db15c8eb6e-worker#27875,174733.0,5767.0,7
ali-2b32b6d433689b9dae75fd67-worker#22741,174999.0,126.0,8
ali-eac74792e9548c6548f8f8e3-tensorflow#357034,175189.0,338.0,1
ali-0271111ef53409eabd5f8818-tensorflow#466347,175499.0,1025.0,1
ali-eb05e9724fd117a9836ee846-worker#43962,175548.0,13754.0,100
ali-f988c39ca04e17009ebec123-tensorflow#33501,175840.0,79433.0,1
ali-aab1f54c689085ac5959abfc-tensorflow#368431,175843.0,81937.0,1
ali-27f72a90cb82612e665beb38-tensorflow#139280,175979.0,27778.0,1
ali-8270f612f84ed88340a02fa0-tensorflow#214410,175979.0,30282.0,1
ali-419818aca51db0f49c6a73bc-tensorflow#258449,176047.0,4964.0,1
ali-ab22bae9a29157cfe1f076c9-tensorflow#407317,176056.0,5217.0,1
ali-6b3af0229f2c485e964a7d36-tensorflow#399254,176058.0,4719.0,1
ali-b4d9a9cac6d097898aecc698-worker#229817,176093.0,16342.0,10
ali-7ac91030f3ec8c91b532b671-PyTorchWorker#52892,176123.0,11252.0,36
ali-68c4cd6a024863976a1e5f19-worker#173926,176124.0,596.0,5
ali-a3c7773408922a8dfc6863e1-tensorflow#429062,176194.0,24484.0,1
ali-b9a9d9e1ba9c456b5a555290-tensorflow#141350,176704.0,23.0,1
ali-b60f49e385ddd38922975d7b-tensorflow#107223,176857.0,19938.0,1
ali-3b8524c42415bda0d1314f29-tensorflow#484573,176859.0,21665.0,1
ali-fc2bd6fcf08b562f190929a1-worker#476692,176901.0,1951.0,20
ali-c54195eccc9ecd7020182385-worker#454688,177142.0,1226.0,50
ali-080a3d9c739e3bc2c790d235-tensorflow#506349,177299.0,3035.0,1
ali-0b296c89140e947175a160c9-tensorflow#416770,177360.0,2319.0,1
ali-0925961b8573d47e4731ca2e-tensorflow#559241,177434.0,10406.0,1
ali-a02a9deb2fb8b343c967721e-tensorflow#14398,177685.0,116.0,1
ali-2d1a22a4d1c89e25dce7cc0f-tensorflow#353089,177707.0,256.0,1
ali-a11be27db0b12a572080ef74-tensorflow#509914,178411.0,42.0,1
ali-f1784e16bcd214f8c512cc83-worker#446027,178845.0,232.0,1
ali-c8a4208e617d002ee72a014a-worker#10608,178856.0,567.0,1
ali-8f2cf2d881dd538798c0f92e-tensorflow#115623,178975.0,115.0,1
ali-cbe0cc6d9d47a041a1975557-tensorflow#474304,179121.0,261.0,1
ali-4895eb31c3b957c9806d7b46-tensorflow#77598,179127.0,324.0,1
ali-493650beeaaa64eb0504c911-tensorflow#277214,179249.0,1476.0,1
ali-1a4aba3076ea6afe891124e8-tensorflow#86807,179288.0,17428.0,1
ali-7e6d29b087ce3b8e643c447a-worker#17934,179292.0,2998.0,15
ali-e1f003ef6663bc1a18cbe8af-ps#105401,179431.0,60.0,1
ali-f61aaa68f7614f5aa338f8b8-tensorflow#500072,179431.0,1822.0,1
ali-662fd2a96ccaebd81a4b74d1-tensorflow#522715,179484.0,3802.0,1
ali-4b1bfd09ca12d31a87f912f4-tensorflow#33040,179553.0,30.0,1
ali-067378d818909f20ac1ce743-tensorflow#503508,179563.0,4035.0,1
ali-a0cefc0f32980284316294f3-ps#342230,179585.0,47.0,1
