pod,queue_sec,jct_sec
ph-application-1504131676014-19633-hwmdj,1.0,12.0
ph-application-1504131676014-19933-9prs6,0.0,11.0
ph-application-1504131676014-20042-xvmtb,5.0,16.0
ph-application-1504131676014-20090-gwrj9,5.0,17.0
ph-application-1504131676014-20177-6g99n,4.0,16.0
ph-application-1504131676014-20289-w67p8,41.0,43.0
ph-application-1504131676014-20322-gt9gv,24.0,36.0
ph-application-1504131676014-20357-5hlc9,3.0,15.0
ph-application-1504131676014-20421-bf5f7,2.0,14.0
ph-application-1504131676014-20455-b92d2,1.0,13.0
ph-application-1504131676014-20521-tqmkj,3.0,15.0
ph-application-1504131676014-20540-k9nnb,3.0,15.0
ph-application-1504131676014-20644-kt5g7,2.0,14.0
ph-application-1504131676014-20710-hhfsm,0.0,12.0
ph-application-1504131676014-20811-nwq2d,9.0,21.0
ph-application-1504131676014-20879-kkpzx,8.0,20.0
ph-application-1504131676014-21043-d7dgn,1.0,13.0
ph-application-1504131676014-21218-cxmv5,1.0,13.0
ph-application-1504131676014-21317-sffvl,7.0,19.0
ph-application-1504131676014-21364-lld9r,5.0,17.0
ph-application-1504131676014-21526-nhj2f,5.0,17.0
ph-application-1504131676014-21869-nlkdh,4.0,16.0
ph-application-1504131676014-22022-4zhld,3.0,14.0
ph-application-1504131676014-22221-mkmwm,1.0,12.0
ph-application-1504131676014-22358-l8bws,5.0,16.0
ph-application-1504131676014-22359-pcp75,5.0,16.0
ph-application-1504131676014-22487-2rk79,4.0,15.0
ph-application-1504131676014-22594-g7mtk,2.0,13.0
ph-application-1504131676014-22619-xfzw5,1.0,2.0
ph-application-1504131676014-22752-cbwz7,5.0,16.0
ph-application-1504131676014-22845-tqqn4,10.0,21.0
ph-application-1504131676014-23473-strfw,3.0,15.0
ph-application-1504131676014-23497-hl9tf,2.0,14.0
ph-application-1504131676014-23554-s58b7,17.0,28.0
ph-application-1504131676014-23623-k4d8v,1.0,13.0
ph-application-1504131676014-23778-zrdf6,1.0,13.0
ph-application-1504131676014-23926-j2csw,5.0,16.0
ph-application-1504131676014-24590-9z96w,3.0,4.0
ph-application-1504131676014-24734-djgr5,14.0,25.0
ph-application-1504131676014-24780-hp7cq,3.0,14.0
ph-application-1504131676014-24975-dhlzp,1.0,12.0
ph-application-1504131676014-24991-rhvhr,20.0,31.0
ph-application-1504131676014-25039-dbls6,2.0,13.0
ph-application-1504131676014-25063-gsw6r,5.0,16.0
ph-application-1504131676014-25113-pgbnl,4.0,15.0
ph-application-1506638472019-0065-62zq7,4.0,15.0
ph-application-1506638472019-0213-m5vvn,39.0,40.0
ph-application-1506638472019-0273-f92jk,41.0,42.0
ph-application-1506638472019-0445-5v7qp,2.0,15.0
ph-application-1506638472019-0794-mxrlq,0.0,13.0
ph-application-1506638472019-0805-kz5b8,0.0,13.0
ph-application-1506638472019-0864-wgnsb,1.0,13.0
ph-application-1506638472019-0865-tvtx6,1.0,13.0
ph-application-1506638472019-0870-gn8c6,1.0,13.0
ph-application-1506638472019-0922-w8qd4,1.0,13.0
ph-application-1506638472019-0928-g5b9g,5.0,17.0
ph-application-1506638472019-0962-v9shd,15.0,28.0
ph-application-1506638472019-0969-77zp7,16.0,28.0
ph-application-1506638472019-10000-z5wfb,65.0,77.0
ph-application-1506638472019-10307-mhzgb,88.0,90.0
ph-application-1506638472019-1037-5dk7z,15.0,26.0
ph-application-1506638472019-10403-ddrd4,54.0,56.0
ph-application-1506638472019-10573-575x7,51.0,63.0
ph-application-1506638472019-10607-qp9zw,990.0,1001.0
ph-application-1506638472019-10612-f52mz,50.0,62.0
ph-application-1506638472019-10647-29hp7,55.0,66.0
ph-application-1506638472019-10771-x2tsg,54.0,65.0
ph-application-1506638472019-10885-m6snh,59.0,70.0
ph-application-1506638472019-1105-wvn9c,14.0,25.0
ph-application-1506638472019-11079-qhh9m,64.0,76.0
ph-application-1506638472019-11086-sscc6,64.0,76.0
ph-application-1506638472019-11279-6xht9,63.0,75.0
ph-application-1506638472019-11414-g75df,64.0,75.0
ph-application-1506638472019-11465-kgc95,64.0,75.0
ph-application-1506638472019-11582-wfq8x,67.0,78.0
ph-application-1506638472019-11593-vwwxp,67.0,79.0
ph-application-1506638472019-11943-dvxlr,71.0,82.0
ph-application-1506638472019-12443-5nj95,74.0,85.0
ph-application-1506638472019-12507-jzlq8,73.0,84.0
ph-application-1506638472019-12527-f5k9s,73.0,85.0
