policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,111586,9746216.999999993,20724578.499999993,22368494.799999993,22488847.999999993,6752.309523809524,264020.9301587297,2247713.1499999994,100.0,99.02184768244433
sjf,111586,2191.89999999851,208799.40000000037,18465018.299999986,21747988.100000005,3.3303878034339296,56.05228070175569,413840.91,100.0,99.42018427320892
las,111586,3276070.6999999993,3750111.0,19081183.5,19821623.29999999,2213.4461538461537,56956.453968253845,1975947.95,100.0,99.49026657736252
kueue,111586,162969.60000000335,2451062.0000000037,21540948.6,22552052.1,75.6826277372271,4638.663636363636,2184435.1900000004,100.0,99.48466124601502
easy,111586,4840894.800000001,15786572.099999998,21335296.000000004,21665901.2,3798.7925619834664,20221.363669724768,2155247.7199999997,100.0,99.30000913537216
themis,111586,8931.5,278972.5,17471941.8,21866522.400000006,7.981280881793995,59.888888888888886,561491.8,100.0,99.45156556042167
sfqa,111586,2695939.8000000007,16809267.5,20964960.400000002,21348766.700000007,2248.5345454545522,149214.05833333323,2125698.330000002,100.0,99.08413894009267
sfqa-auto,111586,3773512.5,17669088.000000007,21241578.899999987,21514736.600000016,2830.970276497699,177526.99583333323,2140004.8500000006,100.0,99.06313081892665
fgd,111586,3276070.6999999993,3750111.0,19081183.5,19821623.29999999,2213.4461538461537,56956.453968253845,1975947.95,100.0,99.49026657736252
lucid,111586,1004.047987616621,42138.6687306501,15879900.329131119,20299583.645718068,1.7247672253261963,11.781921152676007,16425.449400838846,100.0,99.69512790730717
sia,111586,413.0,7854.0,21584.0,82436.0,1.0328497277734567,2.771812080536913,210.15436241610738,100.0,86.56313220051759
