policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,368,648808.0,1150728.0,1296879.0,1374637.0,6.442595486111111,59.958888888888886,358.4452777777778,100.0,84.40963669950739
sjf,368,68420.0,810861.0,2559053.5,2852809.0,2.104291087962963,9.18826099537037,40.00680555555556,100.0,88.0234771573604
las,368,335586.5,1222660.0,2455303.0,2541707.5,3.9237393162393164,44.70739583333334,564.8420833333333,100.0,89.62111398963731
kueue,368,335586.5,1222660.0,2455303.0,2541707.5,3.9237393162393164,44.70739583333334,564.8420833333333,100.0,89.62111398963731
easy,368,398925.5,1178047.0,1292522.5,1332856.0,5.258472222222221,29.2040625,328.23527777777775,100.0,83.97538363171356
themis,368,213960.5,1403467.5,2713816.5,3081054.0,4.180164930555556,16.85076388888889,85.42777777777778,100.0,90.8446362515413
sfqa,368,702750.5,1283169.0,1478211.0,1502693.0,7.133576388888889,62.851527777777775,405.4315277777778,100.0,86.08190165876778
sfqa-auto,368,716428.5,1330633.5,1483211.0,1526509.5,7.063923611111111,65.70170138888889,410.01666666666665,100.0,86.66274970622797
fgd,368,335586.5,1222660.0,2455303.0,2541707.5,3.9237393162393164,44.70739583333334,564.8420833333333,100.0,89.62111398963731
lucid,368,61204.5,1139672.0,4554012.0,7528573.993421053,1.6007187479202896,8.396778365803339,33.9077147420318,100.0,94.87603305785125
