job_id,arrival_time,duration,gpu_count,gpu_type,preemptible,workload_kind,priority,source_trace
ph-application_1506638472019_8740,1507147646.0,3724.0,1,any,False,training,0,philly
ph-application_1508364558011_2624,1508437586.0,103974.0,7,any,True,training,0,philly
ph-application_1508364558011_3305,1508448899.0,1071.0,1,any,False,inference,0,philly
ph-application_1511916184019_3041,1512330926.0,2148.0,1,any,False,training,0,philly
ph-application_1508364558011_24453,1509511840.0,14.0,1,any,False,inference,0,philly
ph-application_1508364558011_27175,1509700325.0,1388272.0,4,any,True,training,0,philly
ph-application_1506638472019_36764,1508217993.0,5861.0,1,any,False,training,0,philly
ph-application_1506638472019_6417,1507119590.0,2534.0,1,any,False,training,0,philly
ph-application_1506638472019_22833,1507715502.0,2550.0,1,any,False,training,0,philly
ph-application_1513627406021_1177,1513732309.0,53.0,1,any,False,inference,0,philly
ph-application_1508364558011_9304,1508619396.0,1970.0,1,any,False,training,0,philly
ph-application_1512440382012_2484,1512641239.0,20.0,1,any,False,inference,0,philly
ph-application_1506638472019_2939,1506894985.0,3505.0,1,any,False,training,0,philly
ph-application_1508364558011_30146,1510078946.0,1006421.0,4,any,True,training,0,philly
ph-application_1511916184019_0937,1511999818.0,34.0,4,any,False,training,0,philly
ph-application_1508364558011_26380,1509618595.0,60.0,1,any,False,inference,0,philly
ph-application_1512440382012_5691,1512791531.0,63.0,1,any,False,inference,0,philly
ph-application_1511528684064_0404,1511623935.0,63.0,1,any,False,inference,0,philly
ph-application_1506638472019_2903,1506894826.0,2795.0,1,any,False,training,0,philly
ph-application_1506638472019_0969,1506657876.0,41.0,1,any,False,inference,0,philly
ph-application_1508364558011_40629,1510539018.0,423.0,4,any,True,training,0,philly
ph-application_1508364558011_27860,1509815196.0,768.0,8,any,False,training,0,philly
ph-application_1506638472019_9265,1507151958.0,54.0,1,any,False,inference,0,philly
ph-application_1506638472019_23638,1507730830.0,2676.0,1,any,False,training,0,philly
ph-application_1508364558011_19579,1509031464.0,116.0,1,any,False,inference,0,philly
ph-application_1506638472019_17082,1507496426.0,2792.0,1,any,False,training,0,philly
ph-application_1508364558011_25382,1509545185.0,71.0,8,any,False,training,0,philly
ph-application_1506638472019_2986,1506896516.0,71.0,1,any,False,inference,0,philly
