job_id,arrival_time,duration,gpu_count,gpu_type,preemptible,workload_kind,priority,source_trace
ph-application_1506638472019_2789,220.86466666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_2903,221.04366666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_2905,221.04466666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_2921,221.07066666666665,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_2939,221.09666666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_2971,221.151,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_2986,221.607,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_3026,221.929,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_3057,221.982,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_3102,222.04733333333334,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_3211,222.21,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_3240,222.24966666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_3329,222.388,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_3379,223.192,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_3406,223.235,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_3565,224.10833333333332,6,8,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_3613,225.32466666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_3750,230.80666666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_3788,233.23033333333333,6,8,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_3819,234.38866666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_4257,250.659,6,2,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_4505,264.9,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_4510,265.21633333333335,8,2,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_4584,268.312,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_4590,268.31233333333336,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_4772,269.75733333333335,6,2,NVIDIA-B200,True,inference,0,philly
ph-application_1506638472019_4898,270.81233333333336,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_4980,270.90833333333336,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_5127,271.015,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_5296,271.12666666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_5305,271.13366666666667,6,1,NVIDIA-B200,False,training,0,philly
