job_id,arrival_time_s,duration_s,gpu_count,gpu_type,preemptible
ph-application_1504131676014_24926,1506541317.0,264.0,1,any,False
ph-application_1504131676014_24971,1506548517.0,75.0,1,any,False
ph-application_1504131676014_24986,1506550917.0,67.0,1,any,False
ph-application_1504131676014_25058,1506566603.0,19594.0,4,any,False
ph-application_1504131676014_25085,1506572914.0,28868.0,8,any,True
ph-application_1504131676014_25099,1506579717.0,69.0,1,any,False
ph-application_1504131676014_25237,1506600118.0,73.0,1,any,False
ph-application_1504131676014_25257,1506602516.0,367.0,8,any,True
ph-application_1504131676014_25259,1506602765.0,43977.0,4,any,False
ph-application_1504131676014_25279,1506604586.0,19.0,1,any,False
ph-application_1504131676014_25284,1506605243.0,79232.0,8,any,False
ph-application_1506638472019_0031,1506610315.0,71.0,1,any,False
ph-application_1506638472019_0035,1506610458.0,126.0,1,any,False
ph-application_1506638472019_0068,1506615230.0,19044.0,4,any,False
ph-application_1506638472019_0085,1506616581.0,37242.0,1,any,False
ph-application_1506638472019_0133,1506622915.0,70.0,1,any,False
ph-application_1506638472019_0316,1506648715.0,66.0,1,any,False
ph-application_1506638472019_0321,1506648863.0,45.0,1,any,False
ph-application_1506638472019_0381,1506650744.0,41.0,1,any,False
ph-application_1506638472019_0395,1506650862.0,44.0,1,any,False
ph-application_1506638472019_0430,1506651157.0,45.0,1,any,False
ph-application_1506638472019_0507,1506653033.0,959.0,1,any,False
ph-application_1506638472019_0576,1506654028.0,45.0,1,any,False
ph-application_1506638472019_0607,1506654314.0,46.0,1,any,False
ph-application_1506638472019_0670,1506654831.0,48.0,1,any,False
ph-application_1506638472019_0684,1506654948.0,47.0,1,any,False
ph-application_1506638472019_0696,1506655083.0,43.0,1,any,False
ph-application_1506638472019_0720,1506655287.0,40.0,1,any,False
ph-application_1506638472019_0747,1506655593.0,52.0,1,any,False
ph-application_1506638472019_0906,1506657291.0,38.0,1,any,False
ph-application_1506638472019_0966,1506657853.0,931.0,1,any,False
ph-application_1506638472019_1023,1506658380.0,44.0,1,any,False
ph-application_1506638472019_1042,1506659239.0,37.0,1,any,False
ph-application_1506638472019_1104,1506664399.0,82.0,4,any,True
ph-application_1506638472019_1204,1506678041.0,36764.0,4,any,False
ph-application_1506638472019_1245,1506681479.0,229.0,1,any,True
ph-application_1506638472019_1246,1506681484.0,33444.0,1,any,False
ph-application_1506638472019_1249,1506681500.0,33431.0,1,any,False
ph-application_1506638472019_1274,1506681724.0,34852.0,1,any,True
ph-application_1506638472019_1302,1506681981.0,34506.0,1,any,False
ph-application_1506638472019_1314,1506682111.0,34192.0,1,any,True
ph-application_1506638472019_1416,1506683016.0,33512.0,1,any,False
ph-application_1506638472019_1426,1506683086.0,32125.0,1,any,False
ph-application_1506638472019_1568,1506695799.0,711.0,1,any,False
ph-application_1506638472019_1570,1506696001.0,129877.0,1,any,False
ph-application_1506638472019_1597,1506698389.0,3879.0,1,any,False
ph-application_1506638472019_1627,1506702117.0,7089.0,1,any,False
ph-application_1506638472019_1668,1506707010.0,5458.0,1,any,False
ph-application_1506638472019_1672,1506707162.0,7.0,1,any,False
ph-application_1506638472019_1756,1506721915.0,66.0,1,any,False
ph-application_1506638472019_1768,1506723423.0,354.0,1,any,True
ph-application_1506638472019_1794,1506725535.0,3910.0,1,any,True
ph-application_1506638472019_1861,1506741715.0,69.0,1,any,False
ph-application_1506638472019_1874,1506748315.0,73.0,1,any,False
ph-application_1506638472019_1879,1506750715.0,74.0,1,any,False
ph-application_1506638472019_1890,1506752242.0,2389.0,1,any,False
ph-application_1506638472019_1892,1506752428.0,2403.0,1,any,False
ph-application_1506638472019_1972,1506774715.0,77.0,1,any,False
