run,policy,n,q_p50,q_p90,q_max,bsld_p50,bsld_max,fair_mean,lt50,p1,zeros,alloc_avg
m_ht_fifo,FIFO (default),500,857.0,2041.0,3855.0,16.321428571428573,373.1,56.27123180419826,49.8,0.21459227467811592,5,90.70378151260505
m_ht_gatefifo,FIFO (gate),500,422.0,631.0,2165.0,24.352941176470587,208.1,93.79290215110845,6.2,3.7815126050420145,2,83.99441340782123
m_ht_sjf,SJF,500,15.0,1146.0,2507.0,1.8235294117647058,190.5,71.91648792595075,30.4,0.0,7,82.17213114754098
m_ht_las,LAS,500,424.0,662.0,2202.0,24.41176470588235,211.8,94.47979123655462,5.2,3.7815126050420145,2,83.50330760749725
m_ht_kueue,Kueue,500,449.0,1785.0,2048.0,29.176470588235293,205.5,95.64049586993514,4.4,19.277108433734934,1,82.20476706392199
m_ht_easy,EASY,500,1138.0,1781.0,2114.0,69.5,200.8,96.55095366194405,1.8,17.647058823529417,1,80.3477344573235
m_ht_themis,Themis,500,76.0,984.0,2464.0,5.125,185.2,70.61536230117841,31.4,0.0,6,83.71254162042176
m_ht_sfqa,SAFA (고정 α),500,424.0,660.0,2207.0,24.454545454545453,212.3,94.40642107796839,5.2,3.7815126050420145,2,82.88821585903084
m_ht_auto,SAFA (제안),500,423.0,664.0,2203.0,24.41176470588235,211.8,94.55787105112498,5.2,3.7815126050420145,2,83.48066298342542
