job_id,arrival_time_s,duration_s,gpu_count,gpu_type,preemptible
ph-application_1508364558011_32219,9948.975,3694.0,1,any,True
ph-application_1508364558011_32241,9978.15,1640.0,1,any,False
ph-application_1508364558011_32443,10093.575,2400.0,1,any,False
ph-application_1508364558011_32497,10114.475,3887.0,1,any,True
ph-application_1508364558011_32499,10117.7,17.0,2,any,False
ph-application_1508364558011_32589,10280.4,3650.0,1,any,False
ph-application_1508364558011_32646,10371.575,62.0,1,any,False
ph-application_1508364558011_32667,10450.85,1758.0,1,any,False
ph-application_1508364558011_32745,10623.6,217.0,1,any,False
ph-application_1508364558011_32779,10681.9,70.0,1,any,False
ph-application_1508364558011_32806,10731.575,58.0,1,any,False
ph-application_1508364558011_32851,10816.175,17.0,1,any,False
ph-application_1508364558011_32889,10921.95,907.0,1,any,False
ph-application_1508364558011_32946,10989.0,3485.0,1,any,True
ph-application_1508364558011_32978,10989.775,3653.0,1,any,True
ph-application_1508364558011_33029,10990.65,3643.0,1,any,True
ph-application_1508364558011_33031,10990.675,4171.0,1,any,True
ph-application_1508364558011_33085,10991.65,3296.0,1,any,False
ph-application_1508364558011_33101,10991.75,3206.0,1,any,True
ph-application_1508364558011_33116,10991.875,3570.0,1,any,True
ph-application_1508364558011_33153,10992.25,3918.0,1,any,True
ph-application_1508364558011_33175,10992.85,4284.0,1,any,True
ph-application_1508364558011_33174,10992.85,88.0,1,any,False
ph-application_1508364558011_33209,11039.025,1246.0,4,any,False
ph-application_1508364558011_33243,11075.95,25.0,1,any,False
ph-application_1508364558011_33322,11268.675,145.0,8,any,False
ph-application_1508364558011_33324,11268.7,103.0,2,any,False
ph-application_1508364558011_33346,11298.8,3929.0,1,any,True
ph-application_1508364558011_33360,11299.075,3368.0,1,any,True
ph-application_1508364558011_33523,11399.275,3371.0,1,any,False
ph-application_1508364558011_33542,11414.6,867.0,1,any,False
ph-application_1508364558011_33545,11415.75,3780.0,1,any,False
ph-application_1508364558011_33562,11418.3,862.0,1,any,False
ph-application_1508364558011_33592,11423.475,1430.0,1,any,False
ph-application_1508364558011_33630,11428.775,5439.0,1,any,False
ph-application_1508364558011_33699,11481.575,69.0,1,any,False
ph-application_1508364558011_33708,11502.7,461.0,1,any,False
ph-application_1508364558011_33709,11511.675,81.0,1,any,False
ph-application_1508364558011_33723,11547.8,329.0,1,any,False
ph-application_1508364558011_33765,11618.6,68.0,1,any,False
ph-application_1508364558011_33777,11663.475,214.0,1,any,False
ph-application_1508364558011_33786,11664.475,1522.0,1,any,False
ph-application_1508364558011_33860,11674.875,1063.0,1,any,False
ph-application_1508364558011_33910,11684.45,299.0,1,any,False
ph-application_1508364558011_34065,11717.1,896.0,1,any,False
ph-application_1508364558011_34096,11755.65,321.0,1,any,False
ph-application_1508364558011_34134,11760.8,321.0,1,any,False
ph-application_1508364558011_34196,11768.5,226.0,1,any,False
ph-application_1508364558011_34251,11776.1,214.0,1,any,False
ph-application_1508364558011_34256,11776.525,297.0,1,any,False
ph-application_1508364558011_34261,11777.175,224.0,1,any,False
ph-application_1508364558011_34329,11785.525,741.0,1,any,False
ph-application_1508364558011_34385,11792.625,1796.0,1,any,True
ph-application_1508364558011_34405,11795.075,378.0,1,any,False
ph-application_1508364558011_34440,11798.85,25.0,1,any,False
ph-application_1508364558011_34484,11800.95,2346.0,1,any,False
ph-application_1508364558011_34506,11802.175,1526.0,1,any,False
ph-application_1508364558011_34510,11802.5,294.0,1,any,False
ph-application_1508364558011_34531,11803.55,2422.0,1,any,False
ph-application_1508364558011_34532,11803.6,2339.0,1,any,False
ph-application_1508364558011_34591,11804.95,1605.0,1,any,False
ph-application_1508364558011_34599,11805.3,1827.0,1,any,False
ph-application_1508364558011_34726,11807.825,1683.0,1,any,False
ph-application_1508364558011_34739,11808.35,1950.0,1,any,False
ph-application_1508364558011_34752,11808.55,2118.0,1,any,False
ph-application_1508364558011_34784,11808.9,1782.0,1,any,False
ph-application_1508364558011_34890,11927.6,833.0,1,any,False
ph-application_1508364558011_34895,11928.375,234.0,1,any,False
ph-application_1508364558011_34905,11929.575,510.0,1,any,False
ph-application_1508364558011_34907,11929.95,509.0,1,any,False
ph-application_1508364558011_34937,11933.825,768.0,1,any,False
ph-application_1508364558011_34960,11937.325,224.0,1,any,False
ph-application_1508364558011_34966,11938.025,191.0,1,any,False
ph-application_1508364558011_34993,11954.525,1763.0,1,any,False
ph-application_1508364558011_35067,11956.175,1796.0,1,any,False
ph-application_1508364558011_35068,11956.175,1892.0,1,any,False
ph-application_1508364558011_35097,11957.025,1723.0,1,any,False
ph-application_1508364558011_35146,11957.3,3397.0,1,any,True
ph-application_1508364558011_35153,11957.4,1480.0,1,any,False
ph-application_1508364558011_35196,12044.45,2838.0,1,any,False
ph-application_1508364558011_35297,12228.45,3463.0,1,any,True
ph-application_1508364558011_35351,12229.7,4687.0,1,any,True
ph-application_1508364558011_35419,12230.975,2921.0,1,any,True
ph-application_1508364558011_35456,12231.675,2773.0,1,any,True
ph-application_1508364558011_35538,12233.1,4005.0,1,any,True
ph-application_1508364558011_35583,12234.0,3500.0,1,any,True
ph-application_1508364558011_35641,12234.725,3752.0,1,any,True
ph-application_1508364558011_35650,12234.9,4302.0,1,any,True
ph-application_1508364558011_35654,12235.175,4042.0,1,any,True
ph-application_1508364558011_35731,12236.55,3458.0,1,any,True
ph-application_1508364558011_35782,12237.6,4607.0,1,any,True
ph-application_1508364558011_35829,12239.675,3520.0,1,any,True
ph-application_1508364558011_35919,12379.7,2658.0,1,any,False
ph-application_1508364558011_35941,12382.45,2864.0,1,any,False
ph-application_1508364558011_36010,12516.55,65.0,1,any,False
ph-application_1508364558011_36015,12531.575,71.0,1,any,False
ph-application_1508364558011_36024,12556.15,31.0,1,any,False
