job_id,arrival_time_s,duration_s,gpu_count,gpu_type,preemptible
ph-application_1504131676014_25258,1506602517.0,87.0,1,any,False
ph-application_1506638472019_0065,1506615116.0,74.0,1,any,False
ph-application_1506638472019_0163,1506626647.0,172800,8,any,True
ph-application_1506638472019_0167,1506627903.0,2585.0,1,any,False
ph-application_1506638472019_0206,1506632870.0,2129.0,1,any,False
ph-application_1506638472019_0266,1506640465.0,163.0,1,any,False
ph-application_1506638472019_0282,1506642235.0,1184.0,1,any,False
ph-application_1506638472019_0445,1506651276.0,40.0,1,any,False
ph-application_1506638472019_0709,1506655190.0,49.0,1,any,False
ph-application_1506638472019_0716,1506655249.0,52.0,1,any,False
ph-application_1506638472019_0794,1506656365.0,38.0,1,any,False
ph-application_1506638472019_0805,1506656494.0,40.0,1,any,False
ph-application_1506638472019_0864,1506657133.0,50.0,1,any,False
ph-application_1506638472019_0865,1506657136.0,37.0,1,any,False
ph-application_1506638472019_0869,1506657165.0,42.0,1,any,False
ph-application_1506638472019_0870,1506657167.0,48.0,1,any,False
ph-application_1506638472019_0922,1506657445.0,42.0,1,any,False
ph-application_1506638472019_0928,1506657502.0,45.0,1,any,False
ph-application_1506638472019_0941,1506657599.0,45.0,1,any,False
ph-application_1506638472019_0962,1506657799.0,44.0,1,any,False
ph-application_1506638472019_0969,1506657876.0,41.0,1,any,False
ph-application_1506638472019_1037,1506659197.0,13.0,1,any,False
ph-application_1506638472019_1043,1506659246.0,13.0,1,any,False
ph-application_1506638472019_1105,1506664915.0,65.0,1,any,False
ph-application_1506638472019_1159,1506674518.0,12.0,2,any,False
ph-application_1506638472019_1165,1506675044.0,33.0,1,any,False
ph-application_1506638472019_1167,1506675216.0,76.0,1,any,False
ph-application_1506638472019_1241,1506681450.0,33514.0,1,any,False
ph-application_1506638472019_1245,1506681479.0,229.0,1,any,True
ph-application_1506638472019_1260,1506681629.0,33296.0,1,any,True
ph-application_1506638472019_1299,1506681961.0,32962.0,1,any,False
ph-application_1506638472019_1432,1506683145.0,33019.0,1,any,False
ph-application_1506638472019_1439,1506683219.0,33240.0,1,any,False
ph-application_1506638472019_1596,1506698384.0,58.0,1,any,False
ph-application_1506638472019_1631,1506704206.0,516.0,1,any,False
ph-application_1506638472019_1659,1506706123.0,4850.0,8,any,True
