job,arrival,wall
ph-application-1508364558011-27835,0.0,0.0
ph-application-1508364558011-27886,223.0,2.0
ph-application-1508364558011-27924,603.8,4.0
ph-application-1508364558011-27933,708.7,6.0
ph-application-1508364558011-27953,828.7,8.0
ph-application-1508364558011-27958,848.7,10.0
ph-application-1508364558011-28027,1448.7,12.1
ph-application-1508364558011-28089,2079.3,14.1
ph-application-1508364558011-28094,2110.8,16.1
ph-application-1508364558011-28136,2568.8,18.1
ph-application-1508364558011-28143,2668.7,20.1
ph-application-1508364558011-28153,2748.8,22.1
ph-application-1508364558011-28193,3048.7,24.1
ph-application-1508364558011-28201,3108.8,26.1
ph-application-1508364558011-28245,3268.8,28.1
ph-application-1508364558011-28257,3325.6,30.1
ph-application-1508364558011-28272,3408.8,32.1
ph-application-1508364558011-28319,3691.9,34.1
ph-application-1508364558011-28327,3748.8,36.1
ph-application-1508364558011-28399,3984.8,38.1
ph-application-1508364558011-28411,4035.1,40.2
ph-application-1508364558011-28494,4608.8,42.2
ph-application-1508364558011-28499,4688.7,44.2
ph-application-1508364558011-28507,4761.0,46.2
ph-application-1508364558011-28520,4809.8,48.2
ph-application-1508364558011-28529,4810.7,50.2
ph-application-1508364558011-28545,4866.7,52.2
ph-application-1508364558011-28575,5019.0,54.2
ph-application-1508364558011-28580,5027.6,56.2
ph-application-1508364558011-28614,5188.8,58.2
ph-application-1508364558011-28621,5268.8,60.2
ph-application-1508364558011-28654,5508.8,62.2
ph-application-1508364558011-28672,5557.7,64.2
ph-application-1508364558011-28695,5584.1,66.2
ph-application-1508364558011-28711,5619.6,68.2
ph-application-1508364558011-28753,5719.8,70.3
ph-application-1508364558011-28806,5876.1,72.3
ph-application-1508364558011-28841,5948.7,74.3
ph-application-1508364558011-28939,6388.7,76.3
ph-application-1508364558011-29004,6674.7,78.3
ph-application-1508364558011-29010,6674.9,80.3
ph-application-1508364558011-29174,6861.6,82.3
ph-application-1508364558011-29183,6908.7,84.3
ph-application-1508364558011-29239,7094.6,86.3
ph-application-1508364558011-29284,7508.8,88.3
ph-application-1508364558011-29493,8317.6,90.3
ph-application-1508364558011-29537,8348.7,92.3
ph-application-1508364558011-29567,8359.5,94.3
ph-application-1508364558011-29647,8421.2,96.3
ph-application-1508364558011-29741,8562.0,98.4
ph-application-1508364558011-29743,8562.2,100.4
ph-application-1508364558011-29797,8581.6,102.4
