pod,queue_sec,jct_sec
ph-application-1508364558011-32646-pw45v,143.0,150.0
ph-application-1508364558011-32667-rkj57,141.0,203.0
ph-application-1508364558011-32745-zjgct,144.0,156.0
ph-application-1508364558011-32779-7fdm7,143.0,149.0
ph-application-1508364558011-32806-x5nrg,141.0,147.0
ph-application-1508364558011-32851-cbwn6,144.0,150.0
ph-application-1508364558011-32889-2m6kz,147.0,178.0
ph-application-1508364558011-32946-fvzpd,145.0,146.0
ph-application-1508364558011-32978-9qbmd,148.0,149.0
ph-application-1508364558011-33029-z7fm6,146.0,147.0
ph-application-1508364558011-33031-kzjsg,144.0,145.0
ph-application-1508364558011-33085-tk57s,147.0,258.0
ph-application-1508364558011-33101-pcxtd,145.0,146.0
ph-application-1508364558011-33116-cjw4n,143.0,145.0
ph-application-1508364558011-33153-l5b7z,146.0,147.0
ph-application-1508364558011-33174-v84nd,142.0,148.0
ph-application-1508364558011-33175-mdbxm,149.0,150.0
ph-application-1508364558011-33209-v4thw,161.0,207.0
ph-application-1508364558011-33243-d9shz,148.0,155.0
ph-application-1508364558011-33322-dxs6t,2111.0,2118.0
ph-application-1508364558011-33324-mjck4,144.0,151.0
ph-application-1508364558011-33346-f7sgq,168.0,169.0
ph-application-1508364558011-33360-q6t56,171.0,172.0
ph-application-1508364558011-33523-cpwhj,174.0,291.0
ph-application-1508364558011-33542-l4c7d,172.0,203.0
ph-application-1508364558011-33545-b9clb,196.0,327.0
ph-application-1508364558011-33562-qh6pk,194.0,225.0
ph-application-1508364558011-33592-kwdkx,192.0,244.0
ph-application-1508364558011-33630-s7rpj,190.0,377.0
ph-application-1508364558011-33699-svb8n,198.0,204.0
ph-application-1508364558011-33708-hwlrw,206.0,223.0
ph-application-1508364558011-33709-rj47w,205.0,211.0
ph-application-1508364558011-33723-scs7r,213.0,224.0
ph-application-1508364558011-33765-n2c4f,216.0,222.0
ph-application-1508364558011-33777-b9sbl,219.0,230.0
ph-application-1508364558011-33786-fhhq2,217.0,268.0
ph-application-1508364558011-33860-7njs4,220.0,257.0
ph-application-1508364558011-33910-hkwnh,218.0,229.0
ph-application-1508364558011-34065-f2tlc,226.0,258.0
ph-application-1508364558011-34096-c522f,225.0,236.0
ph-application-1508364558011-34134-6mqqx,228.0,239.0
ph-application-1508364558011-34196-7bzdd,236.0,247.0
ph-application-1508364558011-34251-qmvpn,239.0,250.0
ph-application-1508364558011-34256-l6fsb,247.0,259.0
ph-application-1508364558011-34261-fqcsh,246.0,257.0
ph-application-1508364558011-34329-7nl9s,249.0,275.0
ph-application-1508364558011-34385-s84sm,247.0,248.0
ph-application-1508364558011-34405-zkzzd,250.0,266.0
ph-application-1508364558011-34440-p4qmw,248.0,254.0
ph-application-1508364558011-34484-jt68f,246.0,327.0
ph-application-1508364558011-34506-rt66k,249.0,300.0
ph-application-1508364558011-34510-42bl6,247.0,258.0
ph-application-1508364558011-34531-g2l8z,250.0,331.0
ph-application-1508364558011-34532-zvv77,258.0,340.0
ph-application-1508364558011-34591-2cqdp,257.0,313.0
ph-application-1508364558011-34599-2zk85,260.0,321.0
ph-application-1508364558011-34726-t9xbg,268.0,329.0
ph-application-1508364558011-34739-fsnnf,292.0,358.0
ph-application-1508364558011-34752-kk2qr,310.0,382.0
ph-application-1508364558011-34784-j4mp4,314.0,375.0
ph-application-1508364558011-34890-472w8,317.0,348.0
ph-application-1508364558011-34895-mwcwh,315.0,326.0
ph-application-1508364558011-34905-dqss2,318.0,339.0
ph-application-1508364558011-34907-s9fzl,321.0,342.0
ph-application-1508364558011-34937-7g657,324.0,351.0
ph-application-1508364558011-34960-2kzm6,322.0,334.0
ph-application-1508364558011-34966-pk4k8,336.0,347.0
ph-application-1508364558011-34993-t7rwv,334.0,395.0
ph-application-1508364558011-35067-mklm2,337.0,398.0
ph-application-1508364558011-35068-7ttnz,335.0,401.0
ph-application-1508364558011-35097-jgbtc,338.0,399.0
ph-application-1508364558011-35146-6l6g5,341.0,343.0
ph-application-1508364558011-35153-cgbzl,340.0,391.0
ph-application-1508364558011-35196-n7mjm,343.0,439.0
ph-application-1508364558011-35297-cpjr9,351.0,352.0
ph-application-1508364558011-35351-mv97x,354.0,355.0
ph-application-1508364558011-35419-q8xps,352.0,354.0
ph-application-1508364558011-35456-tt72f,355.0,357.0
ph-application-1508364558011-35538-kvz5k,354.0,355.0
ph-application-1508364558011-35583-7q2dg,357.0,358.0
ph-application-1508364558011-35641-rl9kl,355.0,356.0
ph-application-1508364558011-35650-nz5sm,358.0,359.0
ph-application-1508364558011-35654-tcbxg,356.0,357.0
