policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,368,3153907.5,3762484.5,3996522.0,4028909.0,23.41907696759259,173.02078703703702,1058.1394444444445,100.0,72.26375598086125
sjf,368,169246.5,3884866.0,6412003.5,7585547.5,3.1459346064814815,31.544105902777776,328.0488888888889,100.0,82.50319284802043
las,368,820946.5,3384245.5,4399651.0,4810046.5,9.50400462962963,105.78591049382716,1017.0793055555556,100.0,84.18927648578811
kueue,368,820946.5,3384245.5,4399651.0,4810046.5,9.50400462962963,105.78591049382716,1017.0793055555556,100.0,84.18927648578811
easy,368,1864994.5,3010037.0,3172054.5,3254738.5,17.960532407407406,53.030277777777776,861.0938888888888,100.0,73.51995940460081
themis,368,518838.5,3118047.5,4709017.0,5051107.5,8.754068287037038,26.47037037037037,142.05055555555555,100.0,83.00831202046035
sfqa,368,2664276.5,3682802.0,4140132.5,4348824.5,23.250515046296297,171.5013888888889,1112.0043055555554,100.0,74.69710401891253
sfqa-auto,368,2844037.5,3546059.0,3762092.0,3805284.0,22.43804398148148,160.33851851851853,1008.0148611111111,100.0,75.61101295641932
fgd,368,820946.5,3384245.5,4399651.0,4810046.5,9.50400462962963,105.78591049382716,1017.0793055555556,100.0,84.18927648578811
lucid,368,57338.81578947371,1919918.4135802472,8420454.5,9615627.25,1.7599289420710111,29.37527669190772,83.00166643521733,100.0,90.56852409638554
