pod,queue_sec,jct_sec
ph-application-1508364558011-32499-7wplq,15.0,21.0
ph-application-1508364558011-32589-xh7m6,1202.0,1328.0
ph-application-1508364558011-32646-vjt2m,1.0,7.0
ph-application-1508364558011-32667-7vwc6,25.0,86.0
ph-application-1508364558011-32745-gj4t7,18.0,29.0
ph-application-1508364558011-32779-j4zph,10.0,17.0
ph-application-1508364558011-32806-xlkzm,8.0,15.0
ph-application-1508364558011-32851-8ph7s,11.0,18.0
ph-application-1508364558011-32889-47z6x,15.0,46.0
ph-application-1508364558011-32946-rjdwl,1170.0,1171.0
ph-application-1508364558011-32978-bzvkz,1189.0,1190.0
ph-application-1508364558011-33029-gvs6r,1187.0,1188.0
ph-application-1508364558011-33031-wk4lj,1249.0,1251.0
ph-application-1508364558011-33085-xs4cv,1119.0,1231.0
ph-application-1508364558011-33101-hgqxr,1112.0,1114.0
ph-application-1508364558011-33116-rz5l7,1168.0,1170.0
ph-application-1508364558011-33153-krpbz,1230.0,1232.0
ph-application-1508364558011-33174-ntkqq,5.0,11.0
ph-application-1508364558011-33175-smdks,1245.0,1246.0
ph-application-1508364558011-33209-fd295,953.0,999.0
ph-application-1508364558011-33243-228rk,11.0,17.0
ph-application-1508364558011-33322-rbtqx,1652.0,1658.0
ph-application-1508364558011-33324-2fvpk,17.0,23.0
ph-application-1508364558011-33346-47p5s,1216.0,1218.0
ph-application-1508364558011-33360-grtcq,1102.0,1104.0
ph-application-1508364558011-33523-j6jgk,1106.0,1222.0
ph-application-1508364558011-33542-rmjnd,9.0,40.0
ph-application-1508364558011-33545-2fjmm,1171.0,1302.0
ph-application-1508364558011-33562-md6pn,26.0,57.0
ph-application-1508364558011-33592-27wdd,75.0,127.0
ph-application-1508364558011-33630-l7knc,1245.0,1432.0
ph-application-1508364558011-33699-jj5xk,4.0,10.0
ph-application-1508364558011-33708-648bm,8.0,24.0
ph-application-1508364558011-33709-4868d,5.0,12.0
ph-application-1508364558011-33723-z5g5f,4.0,15.0
ph-application-1508364558011-33765-vxmt2,1.0,8.0
ph-application-1508364558011-33777-hrrdf,4.0,16.0
ph-application-1508364558011-33786-lnbp9,84.0,136.0
ph-application-1508364558011-33860-8w47q,46.0,83.0
ph-application-1508364558011-33910-qf7nx,4.0,15.0
ph-application-1508364558011-34065-hvdd9,37.0,68.0
ph-application-1508364558011-34096-nrs8r,5.0,16.0
ph-application-1508364558011-34134-brp4d,13.0,24.0
ph-application-1508364558011-34196-rndws,6.0,17.0
ph-application-1508364558011-34251-b5l9n,4.0,15.0
ph-application-1508364558011-34256-6r2vp,7.0,18.0
ph-application-1508364558011-34261-xw9mb,5.0,16.0
ph-application-1508364558011-34329-xd87v,13.0,40.0
ph-application-1508364558011-34385-ddnmw,129.0,130.0
ph-application-1508364558011-34405-bswqc,9.0,26.0
ph-application-1508364558011-34440-v7fjl,2.0,8.0
ph-application-1508364558011-34484-64lz7,941.0,1022.0
ph-application-1508364558011-34506-vc6rg,53.0,105.0
ph-application-1508364558011-34510-sh5wx,0.0,11.0
ph-application-1508364558011-34531-z8t6n,941.0,1022.0
ph-application-1508364558011-34532-sjmhf,922.0,1004.0
ph-application-1508364558011-34591-4xl8l,46.0,102.0
ph-application-1508364558011-34599-tqnx8,131.0,192.0
ph-application-1508364558011-34726-qmqrz,47.0,108.0
ph-application-1508364558011-34739-97zv4,755.0,821.0
ph-application-1508364558011-34752-fmrjl,849.0,920.0
ph-application-1508364558011-34784-r2g47,118.0,179.0
ph-application-1508364558011-34890-q8glp,8.0,39.0
ph-application-1508364558011-34895-4nzv5,1.0,12.0
ph-application-1508364558011-34905-7qdr7,4.0,25.0
ph-application-1508364558011-34907-74dpm,2.0,23.0
ph-application-1508364558011-34937-nqbxn,20.0,47.0
ph-application-1508364558011-34960-p6qrq,8.0,19.0
ph-application-1508364558011-34966-rxbvl,1.0,12.0
ph-application-1508364558011-34993-tk6vq,76.0,137.0
ph-application-1508364558011-35067-cc7td,105.0,166.0
ph-application-1508364558011-35068-b8dqh,678.0,745.0
ph-application-1508364558011-35097-s2fzn,24.0,85.0
ph-application-1508364558011-35146-s5xnr,1009.0,1010.0
ph-application-1508364558011-35153-xsc7f,4.0,56.0
ph-application-1508364558011-35196-jp2rw,957.0,1053.0
ph-application-1508364558011-35297-55jbr,1024.0,1025.0
ph-application-1508364558011-35351-4sbft,1140.0,1141.0
ph-application-1508364558011-35419-84snh,972.0,973.0
