t_s,used,total,rate_pct
19069200.0,2,84,2.3810
19159200.0,0,84,0.0000
33152400.0,4,84,4.7619
33238800.0,9,84,10.7143
33253200.0,4,84,4.7619
33584400.0,7,84,8.3333
33588000.0,4,84,4.7619
34866000.0,0,84,0.0000
36176400.0,4,84,4.7619
36435600.0,12,84,14.2857
36442800.0,4,84,4.7619
36608400.0,7,84,8.3333
36684000.0,4,84,4.7619
36867600.0,0,84,0.0000
37213200.0,6,84,7.1429
37216800.0,0,84,0.0000
38682000.0,2,84,2.3810
38804400.0,0,84,0.0000
41446800.0,7,84,8.3333
41522400.0,0,84,0.0000
41533200.0,1,84,1.1905
41947200.0,0,84,0.0000
44730000.0,4,84,4.7619
44820000.0,0,84,0.0000
45075600.0,1,84,1.1905
45241200.0,0,84,0.0000
45939600.0,1,84,1.1905
46285200.0,5,84,5.9524
46314000.0,4,84,4.7619
46371600.0,12,84,14.2857
46465200.0,4,84,4.7619
46630800.0,20,84,23.8095
46677600.0,12,84,14.2857
46717200.0,20,84,23.8095
46756800.0,12,84,14.2857
47149200.0,16,84,19.0476
47235600.0,15,84,17.8571
47235600.0,23,84,27.3810
47239200.0,15,84,17.8571
47415600.0,12,84,14.2857
47599200.0,8,84,9.5238
48344400.0,0,84,0.0000
48358800.0,2,84,2.3810
48405600.0,0,84,0.0000
48704400.0,5,84,5.9524
49050000.0,12,84,14.2857
49053600.0,5,84,5.9524
49136400.0,10,84,11.9048
49309200.0,18,84,21.4286
49395600.0,17,84,20.2381
49395600.0,10,84,11.9048
49654800.0,14,84,16.6667
49734000.0,10,84,11.9048
50000400.0,15,84,17.8571
50259600.0,21,84,25.0000
50338800.0,15,84,17.8571
50536800.0,10,84,11.9048
50691600.0,23,84,27.3810
50695200.0,15,84,17.8571
50778000.0,10,84,11.9048
50950800.0,14,84,16.6667
51040800.0,9,84,10.7143
51210000.0,17,84,20.2381
51217200.0,9,84,10.7143
51555600.0,24,84,28.5714
51613200.0,17,84,20.2381
51642000.0,13,84,15.4762
51642000.0,18,84,21.4286
51670800.0,13,84,15.4762
51728400.0,20,84,23.8095
51919200.0,15,84,17.8571
52592400.0,16,84,19.0476
52678800.0,21,84,25.0000
52729200.0,16,84,19.0476
52938000.0,15,84,17.8571
53197200.0,7,84,8.3333
53442000.0,0,84,0.0000
53629200.0,2,84,2.3810
53679600.0,1,84,1.1905
53802000.0,9,84,10.7143
53845200.0,1,84,1.1905
53888400.0,4,84,4.7619
53996400.0,3,84,3.5714
54086400.0,0,84,0.0000
54147600.0,8,84,9.5238
54234000.0,13,84,15.4762
54266400.0,5,84,5.9524
54280800.0,0,84,0.0000
54406800.0,8,84,9.5238
54666000.0,23,84,27.3810
54669600.0,16,84,19.0476
54925200.0,18,84,21.4286
55098000.0,29,84,34.5238
55144800.0,24,84,28.5714
55270800.0,25,84,29.7619
55440000.0,24,84,28.5714
55443600.0,26,84,30.9524
55476000.0,24,84,28.5714
55616400.0,31,84,36.9048
55702800.0,24,84,28.5714
55857600.0,22,84,26.1905
56041200.0,14,84,16.6667
56221200.0,19,84,22.6190
56250000.0,18,84,21.4286
56307600.0,14,84,16.6667
56394000.0,16,84,19.0476
56480400.0,14,84,16.6667
56826000.0,25,84,29.7619
56833200.0,19,84,22.6190
56912400.0,14,84,16.6667
56998800.0,6,84,7.1429
57258000.0,13,84,15.4762
57265200.0,6,84,7.1429
57430800.0,12,84,14.2857
57495600.0,6,84,7.1429
57603600.0,16,84,19.0476
57650400.0,10,84,11.9048
57690000.0,19,84,22.6190
57765600.0,15,84,17.8571
57776400.0,9,84,10.7143
57776400.0,13,84,15.4762
57783600.0,9,84,10.7143
58035600.0,15,84,17.8571
58050000.0,9,84,10.7143
58122000.0,13,84,15.4762
58388400.0,9,84,10.7143
58467600.0,13,84,15.4762
58744800.0,9,84,10.7143
58784400.0,6,84,7.1429
58813200.0,21,84,25.0000
58816800.0,16,84,19.0476
58856400.0,10,84,11.9048
58986000.0,20,84,23.8095
58989600.0,17,84,20.2381
58993200.0,10,84,11.9048
59274000.0,9,84,10.7143
59364000.0,8,84,9.5238
59439600.0,7,84,8.3333
59590800.0,11,84,13.0952
59655600.0,7,84,8.3333
59677200.0,14,84,16.6667
59745600.0,8,84,9.5238
59763600.0,12,84,14.2857
59850000.0,18,84,21.4286
59936400.0,12,84,14.2857
59936400.0,18,84,21.4286
59997600.0,14,84,16.6667
60022800.0,21,84,25.0000
60055200.0,15,84,17.8571
60098400.0,8,84,9.5238
60109200.0,18,84,21.4286
60156000.0,13,84,15.4762
60368400.0,21,84,25.0000
60375600.0,14,84,16.6667
60454800.0,20,84,23.8095
60501600.0,18,84,21.4286
60541200.0,17,84,20.2381
60541200.0,38,84,45.2381
60800400.0,31,84,36.9048
60800400.0,42,84,50.0000
60886800.0,43,84,51.1905
60890400.0,42,84,50.0000
60973200.0,48,84,57.1429
60976800.0,44,84,52.3810
60991200.0,43,84,51.1905
61009200.0,35,84,41.6667
61009200.0,31,84,36.9048
61318800.0,35,84,41.6667
61459200.0,34,84,40.4762
61491600.0,46,84,54.7619
61498800.0,38,84,45.2381
61516800.0,35,84,41.6667
61578000.0,64,84,76.1905
61581600.0,57,84,67.8571
61585200.0,49,84,58.3333
61639200.0,44,84,52.3810
61664400.0,38,84,45.2381
61682400.0,34,84,40.4762
61740000.0,32,84,38.0952
61750800.0,43,84,51.1905
61837200.0,39,84,46.4286
61837200.0,35,84,41.6667
61837200.0,32,84,38.0952
