policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,62069,44573330.0,85353575.7,91086580.70000002,91435668.20000002,144216.27777777766,2185196.661538462,9142166.510000004,100.0,85.97985248889395
sjf,62069,530.0,12708314.8,47632038.0999999,79607899.29999985,2.573809523800654,883.4584967320286,7522656.109999989,100.0,94.98503277756355
las,62069,596827.5,23538244.699999936,67980044.6,85215239.1,2220.405154639164,157985.97565217418,8381208.719999997,100.0,96.07344970985689
kueue,62069,596827.5,23538244.699999936,67980044.6,85215239.1,2220.405154639164,157985.97565217418,8381208.719999997,100.0,96.07344970985689
easy,62069,1094514.5999999978,25677938.6,62732494.400000006,64195300.40000002,3085.5043103448274,193153.24374999997,6347860.050000002,100.0,96.22927240945211
themis,62069,1948.0,11646802.0,45303878.000000015,80069918.3,8.07790262172215,1108.6742424242425,7572529.220000001,100.0,95.36465448687886
sfqa,62069,28801123.400000006,71045906.69999996,77358731.60000001,77958900.29999998,104286.9794594595,1603402.4531914883,7793103.639999996,100.0,87.50579294182701
sfqa-auto,62069,37903925.099999964,75683109.09999998,81601846.89999999,81880521.5,120519.03870967745,1918643.6500000008,8186661.05,100.0,87.3229079044633
fgd,62069,596827.5,23538244.699999936,67980044.6,85215239.1,2220.405154639164,157985.97565217418,8381208.719999997,100.0,96.07344970985689
lucid,62069,78.89999999850988,1743623.5,53500662.98747563,82948538.98747563,1.114636217138187,241.52934501791793,5980331.0587475635,100.0,97.53041287613716
