namespace,pod,phase,start,finish
ns-16872230390169597,pytorch-cnn-dist-job-2023-07-25-11-07-24-206-worker-0,Failed,2024-01-12 07:00:00+09:00,2024-01-18 14:15:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-3-master-0,Running,2024-01-31 18:45:00+09:00,2024-02-01 01:15:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-3-master-0,Succeeded,2024-02-01 01:15:00+09:00,2024-02-08 00:00:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-3-worker-0,Running,2024-01-31 18:45:00+09:00,2024-02-01 01:15:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-3-worker-0,Succeeded,2024-02-01 01:15:00+09:00,2024-02-08 00:00:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-master-0,Running,2024-01-31 17:30:00+09:00,2024-01-31 18:00:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-master-0,Pending,2024-01-31 18:00:00+09:00,2024-01-31 18:15:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-master-0,Running,2024-01-31 18:15:00+09:00,2024-02-01 11:15:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-worker-0,Pending,2024-01-31 17:30:00+09:00,2024-01-31 17:45:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-worker-0,Running,2024-01-31 17:45:00+09:00,2024-01-31 18:00:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-worker-0,Pending,2024-01-31 18:00:00+09:00,2024-01-31 18:15:00+09:00
ns-16872230390169597,pytorch-cnn-dist-job-worker-0,Running,2024-01-31 18:15:00+09:00,2024-02-01 11:15:00+09:00
ns-16904374776309414,instance-1326-0,Pending,2023-12-06 23:30:00+09:00,2023-12-07 08:45:00+09:00
ns-16904374776309414,instance-1326-0,Running,2023-12-07 08:45:00+09:00,2023-12-07 15:00:00+09:00
ns-16904374776309414,instance-1326-0,Running,2023-12-14 13:45:00+09:00,2023-12-15 13:45:00+09:00
ns-16904374776309414,instance-1326-0,Running,2023-12-15 15:15:00+09:00,2023-12-17 10:00:00+09:00
ns-16904374776309414,instance-1326-0,Running,2023-12-17 10:45:00+09:00,2023-12-17 22:00:00+09:00
ns-16904374776309414,instance-1326-0,Running,2023-12-17 22:15:00+09:00,2023-12-18 22:15:00+09:00
ns-16904374776309414,instance-1326-0,Running,2024-01-19 12:00:00+09:00,2024-01-20 12:00:00+09:00
