policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,111586,607296.0000000037,894395.0,964531.2000000011,972132.8000000026,222.36873146622722,11569.265789473699,96874.25,100.0,96.50219679058628
sjf,111586,319.0,12759.0,175976.2999999998,2252991.8000000007,1.3696610169489158,6.586863106199551,1411.15,100.0,95.94705207451013
las,111586,48760.799999999814,210469.5,944727.8000000007,1007324.0,27.197687025659558,1272.8000000001782,99669.01999999974,100.0,95.04078953212088
kueue,111586,2591.399999999441,25739.0,1743194.0,2187304.5,2.8022141119220505,32.12340425531519,211268.56999999992,100.0,95.40575807564655
easy,111586,147526.5,789554.1999999993,912817.5,927263.5000000037,67.24489019033669,801.8221846846843,88203.98000000007,100.0,95.78601838590934
themis,111586,1334.6000000005588,17673.5,831670.0,1687427.0,2.6852882703777334,8.768409818569904,2011.639999999975,100.0,96.27623176986661
sfqa,111586,204657.5,472331.49999999814,979244.5000000019,1081203.6999999993,82.31815889029004,5244.911764705882,104724.0,100.0,95.7731388183085
sfqa-auto,111586,255815.0,538664.7999999989,936909.0,1020881.6000000015,95.5928549571604,6080.570588235291,100445.30999999997,100.0,95.7599774868884
fgd,111586,48760.799999999814,210469.5,944727.8000000007,1007324.0,27.197687025659558,1272.8000000001782,99669.01999999974,100.0,95.04078953212088
lucid,111586,2.3858131486922503,5908.5999999996275,77120.02777777798,1133868.772222221,1.0062210953751625,2.813377556660727,1225.6972281725352,100.0,93.777167594345
sia,111586,168.0,267.0,298.0,555.0,1.0847797062750333,1.7181208053691275,2.01006711409396,100.0,50.18216797818387
