policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,111586,4932803.0,10192198.0,10896832.5,10933734.5,3375.4843950406157,131231.09285714285,1093131.7,100.0,99.00969687167346
sjf,111586,1766.5,61472.5,11389621.5,11922028.0,2.7043114543114544,26.90625,241682.15,100.0,99.38791203479681
las,111586,2246007.0,2688613.0,10711355.0,10952848.5,1444.1716888577434,38900.59375,1091525.9,100.0,99.48340423157198
kueue,111586,26335.0,380047.5,11192276.5,11954333.0,16.815355329949238,623.0422535211268,1189821.75,100.0,99.44336006415176
easy,111586,4447137.5,8480831.0,10707786.0,10805173.0,2606.8593237032173,66315.96456692913,1076742.1,100.0,99.23754745919503
themis,111586,4891.5,64713.0,10520355.0,11702967.0,5.363636363636363,27.095238095238095,215071.95,100.0,99.4098306937955
sfqa,111586,2023461.5,8633840.5,10583705.5,11048853.0,1317.0462962962963,76931.73,1101821.35,100.0,99.06076158141828
sfqa-auto,111586,2379068.5,9374421.5,10631411.5,11007053.5,1597.8880138814736,92349.72916666667,1095917.5,100.0,99.04849530071526
fgd,111586,2246007.0,2688613.0,10711355.0,10952848.5,1444.1716888577434,38900.59375,1091525.9,100.0,99.48340423157198
lucid,111586,399.19763317517936,21030.36262919195,9373727.138888888,10001512.5,1.3884754532415469,8.52060825907457,2542.256042349711,100.0,99.55815851487148
sia,111586,211.0,3811.0,91839.0,394426.0,1.0948522402287892,2.4328859060402683,1265.0469798657718,100.0,82.39128545751362
