pod,queue_sec,jct_sec
ph-application-1506638472019-16690-f6rpb,70.0,82.0
ph-application-1506638472019-16729-xlbwq,70.0,82.0
ph-application-1506638472019-16900-m6clb,70.0,81.0
ph-application-1506638472019-16926-gwlct,70.0,82.0
ph-application-1506638472019-17082-dfgsr,74.0,86.0
ph-application-1506638472019-17085-z9264,74.0,76.0
ph-application-1506638472019-1725-mhwbd,1.0,12.0
ph-application-1506638472019-17258-l44ll,73.0,84.0
ph-application-1506638472019-17294-h7p66,76.0,88.0
ph-application-1506638472019-17362-pmp9z,78.0,90.0
ph-application-1506638472019-1750-f2sph,10.0,21.0
ph-application-1506638472019-17904-cdtff,61.0,73.0
ph-application-1506638472019-17907-k486d,61.0,73.0
ph-application-1506638472019-18084-zjr76,61.0,73.0
ph-application-1506638472019-18207-sdkt8,61.0,73.0
ph-application-1506638472019-18276-czbj2,65.0,76.0
ph-application-1506638472019-18470-vlkvx,64.0,75.0
ph-application-1506638472019-18493-829wb,69.0,80.0
ph-application-1506638472019-18532-rj7j7,74.0,76.0
ph-application-1506638472019-18557-cz2xr,74.0,76.0
ph-application-1506638472019-1877-jj8s5,5.0,16.0
ph-application-1506638472019-18923-47d42,71.0,83.0
ph-application-1506638472019-18928-4zhcd,72.0,83.0
ph-application-1506638472019-19034-8jh44,71.0,82.0
ph-application-1506638472019-19117-j56lj,75.0,77.0
ph-application-1506638472019-19306-np9mp,75.0,86.0
ph-application-1506638472019-19513-grz6g,74.0,75.0
ph-application-1506638472019-19556-qt6dp,679.0,690.0
ph-application-1506638472019-19623-hb78t,74.0,85.0
ph-application-1506638472019-19784-7tslt,78.0,79.0
ph-application-1506638472019-19786-9prl6,78.0,89.0
ph-application-1506638472019-19899-b42gn,77.0,88.0
ph-application-1506638472019-19914-kl7fq,82.0,93.0
ph-application-1506638472019-19951-lqb4b,81.0,92.0
ph-application-1506638472019-20023-nfntf,80.0,92.0
ph-application-1506638472019-20025-h625r,80.0,92.0
ph-application-1506638472019-20091-kf5hb,84.0,95.0
ph-application-1506638472019-20201-2zdzz,78.0,89.0
ph-application-1506638472019-20205-vb9lv,83.0,95.0
ph-application-1506638472019-20224-spvjw,87.0,99.0
ph-application-1506638472019-20291-qgd75,87.0,98.0
ph-application-1506638472019-20332-7d6lh,79.0,91.0
ph-application-1506638472019-20401-vtf6v,88.0,99.0
ph-application-1506638472019-20484-dxg8c,86.0,97.0
ph-application-1506638472019-20533-vtlqt,91.0,102.0
ph-application-1506638472019-2079-7s46s,4.0,5.0
ph-application-1506638472019-20861-dxbkv,86.0,97.0
ph-application-1506638472019-21399-rtnn4,88.0,100.0
ph-application-1506638472019-2144-cwx9f,4.0,15.0
ph-application-1506638472019-21465-pqpqb,88.0,90.0
ph-application-1506638472019-21505-klfnt,87.0,99.0
ph-application-1506638472019-2154-lkpsw,4.0,15.0
ph-application-1506638472019-21808-w2xcx,87.0,99.0
ph-application-1506638472019-21917-kv6z2,92.0,94.0
ph-application-1506638472019-22409-sj5h7,87.0,89.0
ph-application-1506638472019-22500-rlqh9,84.0,95.0
ph-application-1506638472019-22618-ht5jl,86.0,97.0
ph-application-1506638472019-22782-fbxx9,85.0,96.0
ph-application-1506638472019-22833-2dhx2,84.0,95.0
ph-application-1506638472019-2294-tzn9p,15.0,26.0
ph-application-1506638472019-23006-528r7,83.0,94.0
ph-application-1506638472019-23233-sv4tp,86.0,97.0
ph-application-1506638472019-23381-nrd74,86.0,87.0
ph-application-1506638472019-23482-9fk29,85.0,86.0
ph-application-1506638472019-23499-rxbh7,90.0,101.0
ph-application-1506638472019-23523-ksdrf,90.0,101.0
ph-application-1506638472019-23556-qnw9p,90.0,101.0
ph-application-1506638472019-23638-z6r8z,94.0,106.0
ph-application-1506638472019-23868-wtrzn,93.0,105.0
ph-application-1506638472019-24322-9n4ck,91.0,103.0
ph-application-1506638472019-24344-xkrgg,92.0,93.0
ph-application-1506638472019-24475-wgmgw,91.0,103.0
ph-application-1506638472019-24615-8pmg2,91.0,102.0
ph-application-1506638472019-24628-b4c7m,96.0,107.0
ph-application-1506638472019-2466-fvjwp,13.0,26.0
ph-application-1506638472019-24890-mx65d,95.0,106.0
ph-application-1506638472019-25096-nkktv,95.0,96.0
ph-application-1506638472019-25213-w4nhg,99.0,110.0
ph-application-1506638472019-25220-9tchc,99.0,111.0
ph-application-1506638472019-25392-8mxcm,99.0,101.0
ph-application-1506638472019-25601-jjzhb,98.0,110.0
ph-application-1506638472019-25750-vj8d8,102.0,114.0
ph-application-1506638472019-25947-rmtrt,100.0,112.0
ph-application-1506638472019-2598-dn784,3.0,16.0
ph-application-1506638472019-26148-zljn5,632.0,633.0
ph-application-1506638472019-26229-5mcdm,99.0,101.0
ph-application-1506638472019-26307-zppbk,99.0,111.0
ph-application-1506638472019-26604-449rk,94.0,106.0
ph-application-1506638472019-26717-gjnk4,95.0,106.0
ph-application-1506638472019-26756-ksfm2,100.0,111.0
ph-application-1506638472019-27276-rvmqz,97.0,108.0
ph-application-1506638472019-27442-xnrjv,96.0,107.0
ph-application-1506638472019-2758-s99jz,3.0,16.0
ph-application-1506638472019-27716-xdqnp,98.0,109.0
ph-application-1506638472019-27740-vt44g,108.0,119.0
ph-application-1506638472019-2789-4jrnx,3.0,15.0
ph-application-1506638472019-27912-2b5mk,95.0,106.0
ph-application-1506638472019-27948-9j2l7,100.0,112.0
ph-application-1506638472019-28023-ldnf4,100.0,102.0
ph-application-1506638472019-28037-shhjc,100.0,112.0
ph-application-1506638472019-28044-mvvjs,110.0,122.0
ph-application-1506638472019-28071-27clv,111.0,122.0
ph-application-1506638472019-28162-72wqs,116.0,127.0
ph-application-1506638472019-28228-9nf9x,115.0,116.0
